kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.972160935402"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.973632037640"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.977557599545"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969660639763"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.963137328625"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.959475815296"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.919239044189"
0, kin, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.950917000000"
0, kin, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958677000000"
0, kin, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.968762000000"
0, kin, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.958878000000"
0, kin, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.955447000000"
0, kin, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.938077000000"
0, kin, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.866114000000"
0, kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.968444884755" 
0, kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.970234547509" 
0, kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.974476400996" 
0, kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.966108247638" 
0, kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.958365917671" 
0, kin, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950342790224" 
0, kin, down_statistic, 0, -2.4, 2.4, 300, 600, 0, 1, "0.888594638556"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.970216613531"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.973534674436"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.977538048393"
