MVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95469"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.92028"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.98909"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94114"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96823"
0,TnPH,down_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95119"
0,TnPH,up_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.937"
0,TnPH,down_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95293"
0,TnPH,up_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94529"
0,TnPH,down_bkg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96269"
0,TnPH,up_bkg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95337"
0,TnPH,down_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96393"
0,TnPH,up_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94804"
0,TnPH,down_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95119"
0,TnPH,up_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94157"
0,TnPH,down_topmass,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96239"
0,TnPH,up_topmass,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9555"
0,TnPH,down_fsr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96649"
0,TnPH,up_fsr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94052"
0,TnPH,down_isr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.98032"
0,TnPH,up_isr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96683"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94057"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.91435"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.96679"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.92839"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95275"
0,TnPH,down_met,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93868"
0,TnPH,up_met,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.92683"
0,TnPH,down_jes,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93896"
0,TnPH,up_jes,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.9356"
0,TnPH,down_bkg,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94355"
