MVA;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96352"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.92269"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"1.0043"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9488"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.97824"
0,TnPH,down_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9597"
0,TnPH,up_met,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94255"
0,TnPH,down_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96089"
0,TnPH,up_jes,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95956"
0,TnPH,down_backg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.97261"
0,TnPH,up_backg,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96254"
0,TnPH,down_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9695"
0,TnPH,up_jer,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.95526"
0,TnPH,down_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9597"
0,TnPH,up_pileup,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94945"
0,TnPH,down_topmass,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96753"
0,TnPH,up_topmass,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.9761"
0,TnPH,down_fsr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.98419"
0,TnPH,up_fsr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.94081"
0,TnPH,down_isr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.99353"
0,TnPH,up_isr,0,-2.4,2.4,30.0,50.0,-1.0,1.0,"0.96136"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93792"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.91432"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.96153"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.92532"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.95052"
0,TnPH,down_met,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93425"
0,TnPH,up_met,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.92302"
0,TnPH,down_jes,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.92448"
0,TnPH,up_jes,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93675"
0,TnPH,down_backg,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93832"
0,TnPH,up_backg,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.9413"
0,TnPH,down_jer,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94424"
0,TnPH,up_jer,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93098"
0,TnPH,down_pileup,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93425"
0,TnPH,up_pileup,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.92953"
0,TnPH,down_topmass,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.9401"
0,TnPH,up_topmass,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93425"
0,TnPH,down_fsr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.93874"
0,TnPH,up_fsr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.92935"
0,TnPH,down_isr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.94793"
0,TnPH,up_isr,0,-2.4,2.4,50.0,70.0,-1.0,1.0,"0.9362"
0,TnPH,central,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.94115"
0,TnPH,down,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.91269"
0,TnPH,up,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.96962"
0,TnPH,down_statistic,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.92833"
0,TnPH,up_statistic,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95397"
0,TnPH,down_met,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.9388"
0,TnPH,up_met,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.92797"
0,TnPH,down_jes,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.93398"
0,TnPH,up_jes,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.94748"
0,TnPH,down_backg,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.94124"
0,TnPH,up_backg,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.94426"
0,TnPH,down_jer,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.94788"
0,TnPH,up_jer,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.93845"
0,TnPH,down_pileup,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.9388"
0,TnPH,up_pileup,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.93389"
0,TnPH,down_topmass,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.94471"
0,TnPH,up_topmass,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.94185"
0,TnPH,down_fsr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95516"
0,TnPH,up_fsr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95847"
0,TnPH,down_isr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95396"
0,TnPH,up_isr,0,-2.4,2.4,70.0,100.0,-1.0,1.0,"0.95622"
0,TnPH,central,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.96228"
0,TnPH,down,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.9326"
0,TnPH,up,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.99196"
0,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.94517"
0,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.97939"
0,TnPH,down_met,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.95758"
0,TnPH,up_met,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.94736"
0,TnPH,down_jes,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.94675"
0,TnPH,up_jes,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.96518"
0,TnPH,down_backg,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.96233"
0,TnPH,up_backg,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.95941"
0,TnPH,down_jer,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.96304"
0,TnPH,up_jer,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.95655"
0,TnPH,down_pileup,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.95758"
0,TnPH,up_pileup,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.95454"
0,TnPH,down_topmass,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.96391"
0,TnPH,up_topmass,0,-2.4,2.4,100.0,140.0,-1.0,1.0,"0.96095"
