;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365" 
0, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315" 
0, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994" 
0, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633" 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.044091" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.072043" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.058800" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.062060" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365+0.044091" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315+0.072043" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994+0.058800" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633+0.062060" 
1, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310" 
1, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327" 
1, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379" 
1, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310-0.079751" 
1, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327-0.097425" 
1, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379-0.110781" 
1, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399-0.137891" 
1, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "1.065310+0.079751" 
1, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.062327+0.097425" 
1, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.989379+0.110781" 
1, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.943399+0.137891" 
2, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268" 
2, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709" 
2, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908" 
2, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008" 
2, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268-0.860898" 
2, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709-0.379303" 
2, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908-0.633619" 
2, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008-0.683842" 
2, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "2.350268+0.860898" 
2, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.390709+0.379303" 
2, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "1.396908+0.633619" 
2, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.868008+0.683842" 
