;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.003659" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.015903" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.016545" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.010145" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.020102" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.013485" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.030590" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.002033" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.008851" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.026423" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.017506" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.003226" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.018001" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.037638" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.009920" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.024013" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.003626" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 35, 50, -1, 1, "1.022315-0.001696" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 50, 70, -1, 1, "0.988994-0.004024" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 70, 200, -1, 1, "0.939633-0.003876" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 35, -1, 1, "0.961365-0.000000" 
