;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709" 
0, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863" 
0, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731" 
0, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111" 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.033105" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.057867" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.047036" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.051752" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.033105" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.057867" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.047036" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.051752" 
1, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.943390" 
1, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "0.998301" 
1, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960169" 
1, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.916051" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.943390-0.044950" 
1, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.998301-0.069642" 
1, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960169-0.059013" 
1, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.916051-0.068222" 
1, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.943390+0.044950" 
1, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.998301+0.069642" 
1, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960169+0.059013" 
1, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.916051+0.068222" 
2, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "1.254028" 
2, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "1.255456" 
2, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "1.173737" 
2, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.953899" 
2, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "1.254028-0.164602" 
2, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.255456-0.156530" 
2, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "1.173737-0.221347" 
2, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.953899-0.264900" 
2, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "1.254028+0.164602" 
2, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.255456+0.156530" 
2, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "1.173737+0.221347" 
2, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.953899+0.264900" 
