;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.033105" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.057867" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.047036" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.051752" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.022080" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.023853" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.031894" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.048037" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.000000" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.000759" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.031799" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.011139" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709-0.000000" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863-0.000588" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731-0.024632" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111-0.008628" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.033105" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.057867" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.047036" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.051752" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.022080" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.023853" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.031894" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.048037" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.000000" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.000759" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.031799" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.011139" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "0.931709+0.000000" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.006863+0.000588" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.972731+0.024632" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.960111+0.008628" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.943390-0.044950" 
1, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.998301-0.069642" 
1, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960169-0.059013" 
1, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.916051-0.068222" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.943390-0.027029" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "0.998301-0.028195" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960169-0.038147" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "0.916051-0.056438" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "0.943390-0.000000" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "0.998301-0.003948" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960169-0.040423" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "0.916051-0.023493" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "0.943390-0.000000" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "0.998301-0.003058" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.960169-0.031312" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "0.916051-0.018197" 
1, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.943390+0.044950" 
1, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.998301+0.069642" 
