;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393" 
0, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612" 
0, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398" 
0, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425" 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393-0.037847" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612-0.031442" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398-0.033780" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425-0.049855" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393+0.037847" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612+0.031442" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398+0.033780" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425+0.049855" 
1, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.908062" 
1, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "1.008410" 
1, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.961349" 
1, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.980353" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.908062-0.047041" 
1, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.008410-0.071912" 
1, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.961349-0.058563" 
1, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.980353-0.062602" 
1, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.908062+0.047041" 
1, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.008410+0.071912" 
1, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.961349+0.058563" 
1, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.980353+0.062602" 
2, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, "0.941815" 
2, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, "0.954447" 
2, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, "0.891993" 
2, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, "0.875597" 
2, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.941815-0.062268" 
2, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "0.954447-0.079830" 
2, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.891993-0.105061" 
2, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "0.875597-0.077500" 
2, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.941815+0.062268" 
2, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "0.954447+0.079830" 
2, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.891993+0.105061" 
2, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "0.875597+0.077500" 
