;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393-0.037847" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612-0.031442" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398-0.033780" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425-0.049855" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393-0.021311" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612-0.022093" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398-0.029759" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425-0.044702" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393-0.000000" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612-0.004276" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398-0.008445" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425-0.014765" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393-0.000000" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612-0.003312" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398-0.006542" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425-0.011437" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393+0.037847" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612+0.031442" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398+0.033780" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425+0.049855" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393+0.021311" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612+0.022093" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398+0.029759" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425+0.044702" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393+0.000000" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612+0.004276" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398+0.008445" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425+0.014765" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 35, -1, 1, "0.990393+0.000000" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 35, 50, -1, 1, "1.001612+0.003312" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 50, 70, -1, 1, "0.994398+0.006542" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 70, 200, -1, 1, "1.003425+0.011437" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, "0.908062-0.047041" 
