;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061-0.001898" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061-0.001830" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061-0.004733" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061-0.009432" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061-0.000490" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061-0.017727" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061-0.000287" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061+0.001898" 
0, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061+0.001830" 
0, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061+0.004733" 
0, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061+0.004319" 
0, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061+0.000490" 
0, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061+0.017727" 
0, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.997061+0.000287" 
1, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549-0.001976" 
1, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549-0.001247" 
1, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549-0.013842" 
1, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549-0.027429" 
1, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549-0.005712" 
1, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549-0.004277" 
1, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549-0.000806" 
1, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549+0.001976" 
1, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549+0.001247" 
1, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549+0.013842" 
1, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549+0.020877" 
1, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549+0.005712" 
1, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549+0.004277" 
1, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.964549+0.000806" 
2, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037-0.000049" 
2, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037-0.010137" 
2, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037-0.016799" 
2, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037-0.024140" 
2, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037-0.009717" 
2, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037-0.053175" 
2, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037-0.000726" 
2, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037+0.000049" 
2, wpluscharm, up_jes, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037+0.010137" 
2, wpluscharm, up_ntrack, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037+0.016799" 
2, wpluscharm, up_osss, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037+0.024229" 
2, wpluscharm, up_pu, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037+0.009717" 
2, wpluscharm, up_sl, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037+0.053175" 
2, wpluscharm, up_zid, 1, -2.4, 2.4, 25, 1000, -1, 1, "0.925037+0.000726" 
