;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934"" 
0, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229"" 
0, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786"" 
0, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014"" 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.069317"" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.066944"" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.075697"" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.131736"" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934+0.069317"" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229+0.066944"" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786+0.075697"" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014+0.131736"" 
1, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.104455"" 
1, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.176653"" 
1, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.035691"" 
1, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.336707"" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.104455-0.143723"" 
1, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.176653-0.165337"" 
1, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.035691-0.178820"" 
1, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.336707-0.388854"" 
1, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.104455+0.143723"" 
1, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.176653+0.165337"" 
1, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.035691+0.178820"" 
1, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.336707+0.388854"" 
2, wpluscharm, central, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.646410"" 
2, wpluscharm, central, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.853048"" 
2, wpluscharm, central, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.359889"" 
2, wpluscharm, central, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.739212"" 
2, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.646410-0.811433"" 
2, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.853048-0.974792"" 
2, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.359889-0.877765"" 
2, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.739212-1.562111"" 
2, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.646410+0.811433"" 
2, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.853048+0.974792"" 
2, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.359889+0.877765"" 
2, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.739212+1.562111"" 
