;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.069317"" 
0, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.066944"" 
0, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.075697"" 
0, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.131736"" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.068056"" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.066187"" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.073552"" 
0, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.126279"" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.000000"" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.000709"" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.005709"" 
0, wpluscharm, down_type2, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.035736"" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.000000"" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.000549"" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.004422"" 
0, wpluscharm, down_type3, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.027681"" 
0, wpluscharm, up, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934+0.069317"" 
0, wpluscharm, up, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229+0.066944"" 
0, wpluscharm, up, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786+0.075697"" 
0, wpluscharm, up, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014+0.131736"" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934+0.068056"" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229+0.066187"" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786+0.073552"" 
0, wpluscharm, up_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014+0.126279"" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934+0.000000"" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229+0.000709"" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786+0.005709"" 
0, wpluscharm, up_type2, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014+0.035736"" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934+0.000000"" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229+0.000549"" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786+0.004422"" 
0, wpluscharm, up_type3, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014+0.027681"" 
1, wpluscharm, down, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.104455-0.143723"" 
1, wpluscharm, down, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.176653-0.165337"" 
1, wpluscharm, down, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.035691-0.178820"" 
1, wpluscharm, down, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.336707-0.388854"" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.104455-0.139772"" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.176653-0.151222"" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.035691-0.170618"" 
1, wpluscharm, down_statistic, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.336707-0.364275"" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.104455-0.000000"" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.176653-0.041532"" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 50, 70, -1, 1, ""1.035691-0.004936"" 
1, wpluscharm, down_type2, 1, -2.4, 2.4, 70, 200, -1, 1, ""1.336707-0.243290"" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 25, 35, -1, 1, ""1.104455-0.000000"" 
1, wpluscharm, down_type3, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.176653-0.032170"" 
