;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.009515"" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.000346"" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.014814"" 
0, wpluscharm, down_brfrag, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.017586"" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.002311"" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.005192"" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.008594"" 
0, wpluscharm, down_jes, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.020992"" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.002017"" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.000879"" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.002553"" 
0, wpluscharm, down_ntrack, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.000187"" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.001554"" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.005948"" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.001307"" 
0, wpluscharm, down_osss, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.019637"" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.008225"" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.000317"" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.003969"" 
0, wpluscharm, down_pu, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.004122"" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.000000"" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.000000"" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.000000"" 
0, wpluscharm, down_sl, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.000000"" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934-0.000010"" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229-0.000008"" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 50, 70, -1, 1, ""0.895786-0.000012"" 
0, wpluscharm, down_zid, 1, -2.4, 2.4, 70, 200, -1, 1, ""0.993014-0.000025"" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 25, 35, -1, 1, ""0.999934+0.009515"" 
0, wpluscharm, up_brfrag, 1, -2.4, 2.4, 35, 50, -1, 1, ""1.010229+0.000346"" 
