OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.000374331*x))+0.969825" 
0, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.000374331*x))+(0.969825-0.041826415807008743)" 
0, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.000374331*x))+(0.969825-0.06113559752702713)" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.000374331*x))+(0.969825-0.05256512388586998)" 
0, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.000374331*x))+(0.969825-0.058001246303319931)" 
0, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.000374331*x))+0.969825)+0.041826415807008743" 
0, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.000374331*x))+0.969825)+0.06113559752702713" 
0, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.000374331*x))+0.969825)+0.05256512388586998" 
0, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.000374331*x))+0.969825)+0.058001246303319931" 
1, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.00202513*x))+1.08877" 
1, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.00202513*x))+(1.08877-0.076519154012203217)" 
1, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.00202513*x))+(1.08877-0.088082082569599152)" 
1, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.00202513*x))+(1.08877-0.10661037266254425)" 
1, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.00202513*x))+(1.08877-0.11943192034959793)" 
1, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.00202513*x))+1.08877)+0.076519154012203217" 
1, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.00202513*x))+1.08877)+0.088082082569599152" 
1, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.00202513*x))+1.08877)+0.10661037266254425" 
1, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.00202513*x))+1.08877)+0.11943192034959793" 
2, comb, central, 1, -2.4, 2.4, 25, 200, 0, 1, "(-(0.00933844*x))+1.83857" 
2, comb, down, 1, -2.4, 2.4, 25, 35, 0, 1, "(-(0.00933844*x))+(1.83857-0.62862622737884521)" 
2, comb, down, 1, -2.4, 2.4, 35, 50, 0, 1, "(-(0.00933844*x))+(1.83857-0.39921277761459351)" 
2, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(-(0.00933844*x))+(1.83857-0.63094145059585571)" 
2, comb, down, 1, -2.4, 2.4, 70, 200, 0, 1, "(-(0.00933844*x))+(1.83857-0.51833927631378174)" 
2, comb, up, 1, -2.4, 2.4, 25, 35, 0, 1, "((-(0.00933844*x))+1.83857)+0.62862622737884521" 
2, comb, up, 1, -2.4, 2.4, 35, 50, 0, 1, "((-(0.00933844*x))+1.83857)+0.39921277761459351" 
2, comb, up, 1, -2.4, 2.4, 50, 70, 0, 1, "((-(0.00933844*x))+1.83857)+0.63094145059585571" 
2, comb, up, 1, -2.4, 2.4, 70, 200, 0, 1, "((-(0.00933844*x))+1.83857)+0.51833927631378174" 
