csv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "0.898727" 
0, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.849970" 
0, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.897871" 
0, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.853644" 
0, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.880270" 
0, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.881156" 
0, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "0.947483" 
0, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.899438" 
0, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.943892" 
0, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.917181" 
0, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.916307" 
1, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "0.852899" 
1, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.768947" 
1, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.846667" 
1, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.778127" 
1, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.826893" 
1, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.818466" 
1, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "0.936851" 
1, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "0.859101" 
1, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.927715" 
1, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "0.878907" 
1, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.887500" 
2, ttbar, central, 1, -2.4, 2.4, 25, 200, 0, 1, "1.112329" 
2, ttbar, down, 1, -2.4, 2.4, 25, 200, 0, 1, "0.738792" 
2, ttbar, down_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "1.069166" 
2, ttbar, down_other, 1, -2.4, 2.4, 25, 200, 0, 1, "0.819019" 
2, ttbar, down_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "1.028582" 
2, ttbar, down_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "0.967332" 
2, ttbar, up, 1, -2.4, 2.4, 25, 200, 0, 1, "1.485865" 
2, ttbar, up_jes, 1, -2.4, 2.4, 25, 200, 0, 1, "1.155370" 
2, ttbar, up_other, 1, -2.4, 2.4, 25, 200, 0, 1, "1.405878" 
2, ttbar, up_pu, 1, -2.4, 2.4, 25, 200, 0, 1, "1.195622" 
2, ttbar, up_statistic, 1, -2.4, 2.4, 25, 200, 0, 1, "1.257291" 
