CSVv2;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0739"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93538"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.2124"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0163"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1315"
0,TnPL,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1407"
0,TnPL,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.965"
0,TnPL,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1061"
0,TnPL,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0584"
0,TnPL,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0927"
0,TnPL,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.061"
0,TnPL,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0902"
0,TnPL,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0646"
0,TnPL,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1428"
0,TnPL,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0301"
0,TnPL,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.033"
0,TnPL,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.033"
0,TnPL,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0796"
0,TnPL,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0782"
0,TnPL,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0922"
0,TnPL,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0571"
0,TnPL,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0359"
0,TnPL,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0563"
0,TnPL,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0585"
0,TnPL,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0513"
0,TnPL,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0661"
0,TnPL,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0802"
0,TnPL,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0128"
0,TnPL,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9444"
0,TnPL,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0812"
0,TnPL,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.98779"
