DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,1.03102946281
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.13486940163
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.947860117419
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.05218212698
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.01565361023
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03443264961
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.02721679211
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.04010272026
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.01378786564
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03102886677
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03102886677
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.03102886677
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.03359246254
0,lt,up_csv,0,0,2.4,20.0,30.0,0,1,1.08452343941
0,lt,down_csv,0,0,2.4,20.0,30.0,0,1,1.06272017956
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.03107357025
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.03102886677
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.03147941171
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.03057951392
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.11035031154
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.951708614084
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.03979955637
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.02225936926
0,lt,central,0,0,2.4,30.0,50.0,0,1,1.03540813923
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.10220621085
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.986701257135
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.04138696194
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,1.02571000705
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.03981649876
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,1.03092229366
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.04272532463
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.03022015095
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,1.0354077816
