DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96027201414108276" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96350502967834473" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95578098297119141" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94176602363586426" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.92983502149581909" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92730098962783813" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88312602043151855" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.88617897033691406" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.93003398180007935" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.85273301601409912" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.91466712951660156" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94431692361831665" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9271317720413208" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.91727054119110107" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.8894767165184021" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.86665916442871094" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.8069758415222168" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.73590302467346191" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.81185781955718994" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.63726300001144409" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96954500675201416" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96410304307937622" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95766294002532959" 
