DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.16969+(-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.16969+(-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.088405519723892212)" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.039335969835519791)" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.039617720991373062)" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.051247268915176392)" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.086732916533946991)" 
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.12786157429218292)" 
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.21191136538982391)" 
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.13967099785804749)" 
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.14917382597923279)" 
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.035362206399440765)" 
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.015734387561678886)" 
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.015847088769078255)" 
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.020498907193541527)" 
0, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.034693166613578796)" 
0, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.051144629716873169)" 
0, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.084764547646045685)" 
0, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.055868398398160934)" 
0, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.16969+((-(0.00710043*(log(x+19)*(log(x+18)*(3-(0.333824*log(x+18)))))))-0.059669528156518936)" 
