DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94750398397445679" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.95468801259994507" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95111602544784546" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94413298368453979" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91868299245834351" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92580997943878174" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.86236202716827393" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.83126199245452881" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.99665200710296631" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.86577701568603516" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.86211258172988892" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.93502950668334961" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.92331236600875854" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.92099517583847046" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.88807618618011475" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.89172816276550293" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.81905108690261841" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.78348398208618164" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.85579097270965576" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.38704201579093933" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95358002185821533" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.95498299598693848" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95252805948257446" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94568997621536255" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91891402006149292" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92529702186584473" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.86455106735229492" 
