CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.934236
0, system8, down,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.84819
0, system8, up,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.02028
0, system8, down_statistic,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.908991
0, system8, up_statistic,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.959481
0, system8, up_jetaway,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.902518
0, system8, down_jetaway,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.965954
0, system8, up_mupt,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.988381
0, system8, down_mupt,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.880091
0, system8, up_ptrel,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.984941
0, system8, down_ptrel,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.883531
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.93353
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.934942
0, system8, up_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.923803
0, system8, down_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.944669
0, system8, up_mudr,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.943457
0, system8, down_mudr,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.925015
0, system8, up_pileup,           0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.935783
0, system8, down_pileup,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.932689
0, system8, up_jes,          0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.926418
0, system8, down_jes,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.942054
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947689
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.915564
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.979814
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.936413
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.958965
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.923043
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.972335
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.94263
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.952748
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.963032
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.932346
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947921
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947457
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.94254
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.952838
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.949353
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.946025
0, system8, up_pileup,           0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.949589
0, system8, down_pileup,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.945789
0, system8, up_jes,          0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.949555
0, system8, down_jes,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.945823
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.963517
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.940118
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.986916
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.946606
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.980428
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.973641
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.953393
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.96003
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.967004
0, system8, up_ptrel,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97256
0, system8, down_ptrel,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.954474
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.962809
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.964225
0, system8, up_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.959409
0, system8, down_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.967625
0, system8, up_mudr,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.966549
0, system8, down_mudr,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.960485
0, system8, up_pileup,           0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.965986
0, system8, down_pileup,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.961048
0, system8, up_jes,          0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.957822
0, system8, down_jes,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.969212
0, system8, central,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02758
0, system8, down,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.966413
0, system8, up,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.08875
0, system8, down_statistic,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.00026
0, system8, up_statistic,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.0549
0, system8, up_jetaway,      0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.984625
0, system8, down_jetaway,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.07053
0, system8, up_mupt,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02113
0, system8, down_mupt,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.03403
0, system8, up_ptrel,        0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.995645
0, system8, down_ptrel,      0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.05951
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02533
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02983
0, system8, up_bfragmentation, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02273
0, system8, down_bfragmentation, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.03243
0, system8, up_mudr,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.03243
0, system8, down_mudr,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02273
0, system8, up_pileup,           0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02973
0, system8, down_pileup,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02543
0, system8, up_jes,          0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.02193
0, system8, down_jes,        0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.03323
0, system8, central,    0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.972734
0, system8, down,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.919869
0, system8, up,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 1.0256
0, system8, down_statistic,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.940701
0, system8, up_statistic,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 1.00477
0, system8, up_jetaway,      0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.937007
0, system8, down_jetaway,    0, 0.0, 2.4, 100.0, 140.0, 0, 1, 1.00846
0, system8, up_mupt,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.96328
0, system8, down_mupt,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.982188
0, system8, up_ptrel,        0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.985267
0, system8, down_ptrel,      0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.960201
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.966927
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.978541
0, system8, up_bfragmentation, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.967137
0, system8, down_bfragmentation, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.978331
0, system8, up_mudr,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.978331
0, system8, down_mudr,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.967137
0, system8, up_pileup,           0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.977631
0, system8, down_pileup,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.967837
0, system8, up_jes,          0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.983933
0, system8, down_jes,        0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.961535
1, system8, central,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.886707
1, system8, down,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.761674
