DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.96039
0, system8, down,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.87285
0, system8, up,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.04793
0, system8, down_statistic,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.93682
0, system8, up_statistic,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.98396
0, system8, up_jetaway,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.933339
0, system8, down_jetaway,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.987441
0, system8, up_mupt,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.02514
0, system8, down_mupt,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.89564
0, system8, up_ptrel,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00177
0, system8, down_ptrel,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.919007
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.960106
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.960674
0, system8, up_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.952087
0, system8, down_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.968693
0, system8, up_mudr,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.96722
0, system8, down_mudr,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.95356
0, system8, up_pileup,           0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.963294
0, system8, down_pileup,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.957486
0, system8, up_jes,          0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.941772
0, system8, down_jes,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.979008
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947687
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.918629
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.976745
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.937392
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.957982
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.966462
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.928912
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.950837
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.944537
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.966037
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.929337
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947881
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947493
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.944523
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.950851
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.948898
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.946476
0, system8, up_pileup,           0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.949316
0, system8, down_pileup,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.946058
0, system8, up_jes,          0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.952695
0, system8, down_jes,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.942679
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.969423
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.945158
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.993688
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.954082
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.984764
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.958061
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.980785
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.967042
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.971804
0, system8, up_ptrel,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.955986
0, system8, down_ptrel,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.98286
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.968502
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.970344
0, system8, up_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.966556
0, system8, down_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97229
0, system8, up_mudr,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97229
0, system8, down_mudr,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.966556
0, system8, up_pileup,           0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97062
0, system8, down_pileup,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.968226
0, system8, up_jes,          0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.965019
0, system8, down_jes,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.973827
0, system8, central,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.996535
0, system8, down,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.655469
0, system8, up,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.3376
0, system8, down_statistic,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.976826
0, system8, up_statistic,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.01624
0, system8, up_jetaway,      0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.973481
0, system8, down_jetaway,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.01959
0, system8, up_mupt,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.779435
