CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95791298151016235" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96173900365829468" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9736970067024231" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94981598854064941" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94391298294067383" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92568498849868774" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88926601409912109" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85467702150344849" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.97567802667617798" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0136100053787231" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.90616738796234131" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94369518756866455" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93301218748092651" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.92748594284057617" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.90834605693817139" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.8814052939414978" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.81756973266601562" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.73973482847213745" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.83626711368560791" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.87409400939941406" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96985697746276855" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96218997240066528" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97479301691055298" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95138901472091675" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94314396381378174" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92291796207427979" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88399803638458252" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.84470504522323608" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.95790207386016846" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0136100053787231" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96938997507095337" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96182101964950562" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97479301691055298" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95088696479797363" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94314396381378174" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92291796207427979" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88399803638458252" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85467702150344849" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.95790207386016846" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0136100053787231" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "0.94643598794937134" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96165698766708374" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97260099649429321" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9487450122833252" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94468200206756592" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.9284520149230957" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.89453399181365967" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.8468010425567627" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.9934539794921875" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0136100053787231" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95777899026870728" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96177297830581665" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97460997104644775" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95183998346328735" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94957298040390015" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93877100944519043" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.9042699933052063" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 600, 0, 1, "0.87901198863983154" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0413899421691895" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0136100053787231" 
0, ptrel, down_jes, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96910500526428223" 
0, ptrel, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96015799045562744" 
0, ptrel, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96830600500106812" 
0, ptrel, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94767898321151733" 
