DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96794497966766357" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9670029878616333" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96800899505615234" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94333398342132568" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93874198198318481" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92618000507354736" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88505798578262329" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.86744397878646851" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.9670180082321167" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.99664300680160522" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.9243466854095459" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94610440731048584" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93084597587585449" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.91942322254180908" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.90122944116592407" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.88804620504379272" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.84315949678421021" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.82422733306884766" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.82837635278701782" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.84985202550888062" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97667801380157471" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96650499105453491" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96974700689315796" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94441097974777222" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93863600492477417" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92545199394226074" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88602399826049805" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.86418193578720093" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.94852900505065918" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.99664300680160522" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.97663593292236328" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96749997138977051" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96974700689315796" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94426196813583374" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93881094455718994" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92545199394226074" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88602399826049805" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.86418193578720093" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.94852900505065918" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.99664300680160522" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95925402641296387" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96650600433349609" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.96627098321914673" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.94240599870681763" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.93867301940917969" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92690801620483398" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88409197330474854" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.87070602178573608" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.98550701141357422" 
