CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95626598596572876" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96104001998901367" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.976951003074646" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9498630166053772" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9492189884185791" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.94154500961303711" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.91124498844146729" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85467702150344849" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.059999942779541" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.1357899904251099" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.90839725732803345" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94294297695159912" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.94165909290313721" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.92336136102676392" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.90347552299499512" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.86356437206268311" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.79284709692001343" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.73973482847213745" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.53778111934661865" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.93683397769927979" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.96864801645278931" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.96151500940322876" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.97812598943710327" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.95147699117660522" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.94876199960708618" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93839901685714722" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.90537798404693604" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.84470504522323608" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.97787988185882568" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.1357899904251099" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.95458096265792847" 
