CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.969207
0, system8, down,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.902682
0, system8, up,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.03573
0, system8, down_statistic,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.958929
0, system8, up_statistic,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.979485
0, system8, up_jetaway,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.978179
0, system8, down_jetaway,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.960235
0, system8, up_mupt,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.996634
0, system8, down_mupt,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.94178
0, system8, up_ptrel,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.02431
0, system8, down_ptrel,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.914104
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.968797
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.969617
0, system8, up_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.957774
0, system8, down_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.98064
0, system8, up_mudr,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.980264
0, system8, down_mudr,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.95815
0, system8, up_pileup,           0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.971652
0, system8, down_pileup,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.966762
0, system8, up_jes,          0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.983056
0, system8, down_jes,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.955358
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.96015
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.941617
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.978683
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.955282
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.965018
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.970268
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.950032
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.956886
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.963414
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.972731
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947569
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.960772
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.959528
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.954511
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.965789
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.962009
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.958291
0, system8, up_pileup,           0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.962914
0, system8, down_pileup,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.957386
0, system8, up_jes,          0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.957874
0, system8, down_jes,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.962426
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.979138
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.956852
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 1.00142
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.971326
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.98695
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.99529
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.962986
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.973664
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.984612
