CSVv2;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,0.958280384541
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.04074280327
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.901100645871
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.985216342998
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.938970327377
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.96132171154
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.954920351505
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.967744112015
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.940823018551
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.958271086216
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.958271086216
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.958271086216
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.960208594799
0,lt,up_csv,0,0,2.4,20.0,30.0,0,1,1.00666666031
0,lt,down_csv,0,0,2.4,20.0,30.0,0,1,0.990686357021
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.95832157135
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.958271086216
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.95885777498
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.957702994101
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.00823564822
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.908325120857
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.967485419148
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.949075349934
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.968010485172
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.02030683249
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.933860050171
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.97515386343
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.956813344476
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.972719371319
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.963155865669
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.975259184837
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.964258432388
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.968009710312
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.968009710312
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.968009710312
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.963565766811
