DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,1.03474855423
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.1210151793
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.972817906954
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,1.05604073884
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,1.02012050152
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03821504116
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,1.03086650372
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.04345715046
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,1.01796972752
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03473687172
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,1.03473687172
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,1.03473687172
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,1.03874564171
0,lt,up_csv,0,0,2.4,20.0,30.0,0,1,1.08510863781
0,lt,down_csv,0,0,2.4,20.0,30.0,0,1,1.0667450428
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,1.03479361534
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,1.03473687172
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,1.03520012616
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,1.0342969823
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,1.09125930485
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.978237803613
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,1.04620090793
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,1.02329620053
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.995253026485
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.04707279383
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.961315430043
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,1.001308918
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.984763291458
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.999914824963
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.990492641926
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,1.00158071518
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.992586910725
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.995251953602
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.995251953602
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.995251953602
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.992641448975
0,lt,up_csv,0,0,2.4,30.0,50.0,0,1,1.02901375294
0,lt,down_csv,0,0,2.4,30.0,50.0,0,1,1.01627492905
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.995226264
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.995251953602
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.995373115982
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.995132936989
0,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.02648623432
0,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,0.964019818647
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,1.00069432465
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.989811728325
0,lt,central,0,0,2.4,50.0,70.0,0,1,1.02454066277
0,lt,up,0,0,2.4,50.0,70.0,0,1,1.07083678858
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.988528598198
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,1.03841252623
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,1.02381968498
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.03326320648
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,1.01526319981
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.03042912483
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.02045547962
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.02454185486
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,1.02454185486
0,lt,up_dmux,0,0,2.4,50.0,70.0,0,1,1.02454185486
0,lt,down_dmux,0,0,2.4,50.0,70.0,0,1,1.02313315868
0,lt,up_csv,0,0,2.4,50.0,70.0,0,1,1.04584693909
0,lt,down_csv,0,0,2.4,50.0,70.0,0,1,1.03848993778
0,lt,up_ksl,0,0,2.4,50.0,70.0,0,1,1.0245000124
0,lt,down_ksl,0,0,2.4,50.0,70.0,0,1,1.02454185486
0,lt,up_cb,0,0,2.4,50.0,70.0,0,1,1.02463281472
0,lt,down_cb,0,0,2.4,50.0,70.0,0,1,1.02444851082
0,lt,up_ltothers,0,0,2.4,50.0,70.0,0,1,1.05752597795
0,lt,down_ltothers,0,0,2.4,50.0,70.0,0,1,0.991555347582
0,lt,up_statistic,0,0,2.4,50.0,70.0,0,1,1.03471743608
0,lt,down_statistic,0,0,2.4,50.0,70.0,0,1,1.01436388945
0,lt,central,0,0,2.4,70.0,100.0,0,1,0.938580751419
0,lt,up,0,0,2.4,70.0,100.0,0,1,0.99437263723
0,lt,down,0,0,2.4,70.0,100.0,0,1,0.889070933112
0,lt,up_jes,0,0,2.4,70.0,100.0,0,1,0.946601077481
0,lt,down_jes,0,0,2.4,70.0,100.0,0,1,0.938242673874
0,lt,up_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.949124634266
0,lt,down_gluonsplitting,0,0,2.4,70.0,100.0,0,1,0.927022397518
0,lt,up_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.950964808464
0,lt,down_bfragmentation,0,0,2.4,70.0,100.0,0,1,0.927520394325
0,lt,up_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.938583552837
0,lt,down_cfragmentation,0,0,2.4,70.0,100.0,0,1,0.938583552837
