DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.92816698551177979" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94889599084854126" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9333149790763855" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93359702825546265" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91389501094818115" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92783200740814209" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88791298866271973" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85082197189331055" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.87092697620391846" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0239900350570679" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.85930216312408447" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.92279797792434692" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.90324383974075317" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.91008859872817993" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.87889045476913452" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.88307809829711914" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.85223150253295898" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.73925185203552246" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.75242507457733154" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.78949004411697388" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.93809396028518677" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94765299558639526" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93530398607254028" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93457800149917603" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91251897811889648" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92705303430557251" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.8864399790763855" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.8478209376335144" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.84607595205307007" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0239900350570679" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.93809396028518677" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9496079683303833" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93530398607254028" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93423902988433838" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91270405054092407" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.92705303430557251" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.88767999410629272" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85082197189331055" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.84607595205307007" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.0239900350570679" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "0.9182400107383728" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94818401336669922" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93132597208023071" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93295502662658691" 
