CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00332
0, system8, down,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.930076
0, system8, up,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.07656
0, system8, down_statistic,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.983152
0, system8, up_statistic,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.02349
0, system8, up_jetaway,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.971908
0, system8, down_jetaway,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.03473
0, system8, up_mupt,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.995491
0, system8, down_mupt,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.01115
0, system8, up_ptrel,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.06191
0, system8, down_ptrel,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.944731
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00287
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00377
0, system8, up_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989063
0, system8, down_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.01758
0, system8, up_mudr,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.01758
0, system8, down_mudr,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989063
0, system8, up_pileup,           0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.01117
0, system8, down_pileup,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.99547
0, system8, up_jes,          0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00631
0, system8, down_jes,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.00033
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.952905
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.924384
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.981426
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.945456
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.960354
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.936914
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.968896
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.960717
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.945093
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.972546
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.933264
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.953584
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.952226
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.947955
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.957855
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.954865
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.950945
0, system8, up_pileup,           0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.956624
0, system8, down_pileup,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.949186
0, system8, up_jes,          0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.956488
0, system8, down_jes,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.949322
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.981387
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.958651
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 1.00412
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.972072
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.990702
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.966578
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.996196
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.986671
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.976103
0, system8, up_ptrel,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.990564
0, system8, down_ptrel,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97221
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.981209
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.981565
0, system8, up_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.976824
0, system8, down_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.98595
0, system8, up_mudr,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.98536
0, system8, down_mudr,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.977414
