DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, ptrel, central, 0, -2.4, 2.4, 20, 30, 0, 1, "0.92849898338317871" 
0, ptrel, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94648897647857666" 
0, ptrel, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93228697776794434" 
0, ptrel, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93290597200393677" 
0, ptrel, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91840201616287231" 
0, ptrel, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93461298942565918" 
0, ptrel, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.91262197494506836" 
0, ptrel, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85082197189331055" 
0, ptrel, central, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.95250797271728516" 
0, ptrel, central, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.1052399873733521" 
0, ptrel, down, 0, -2.4, 2.4, 20, 30, 0, 1, "0.86132341623306274" 
0, ptrel, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.92297059297561646" 
0, ptrel, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.90150165557861328" 
0, ptrel, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.90514308214187622" 
0, ptrel, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.87767189741134644" 
0, ptrel, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.86928969621658325" 
0, ptrel, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.82254230976104736" 
0, ptrel, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.73925185203552246" 
0, ptrel, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.80346977710723877" 
0, ptrel, down, 0, -2.4, 2.4, 1000, 1400, 0, 1, "0.84463298320770264" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 20, 30, 0, 1, "0.93941295146942139" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94534701108932495" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93447893857955933" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93372100591659546" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9174010157585144" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93323999643325806" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "0.91189199686050415" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 300, 600, 0, 1, "0.8478209376335144" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.891745924949646" 
0, ptrel, down_bfragmentation, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.1052399873733521" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 20, 30, 0, 1, "0.92369097471237183" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94628393650054932" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93300193548202515" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.92469996213912964" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.90890902280807495" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.95100599527359009" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.9205329418182373" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.85082197189331055" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.90202593803405762" 
0, ptrel, down_btempcorr, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.1052399873733521" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 20, 30, 0, 1, "0.93023896217346191" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 30, 50, 0, 1, "0.946571946144104" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93237197399139404" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93175101280212402" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 100, 140, 0, 1, "0.91617202758789062" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 140, 200, 0, 1, "0.93093198537826538" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 200, 300, 0, 1, "0.90663796663284302" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 300, 600, 0, 1, "0.84387493133544922" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 600, 1000, 0, 1, "0.9424930214881897" 
0, ptrel, down_cjets, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.1052399873733521" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 20, 30, 0, 1, "0.92889297008514404" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "0.94642502069473267" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "0.93345201015472412" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "0.93449002504348755" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "0.92271202802658081" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "0.945343017578125" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "0.92540997266769409" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 300, 600, 0, 1, "0.8661159873008728" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 600, 1000, 0, 1, "1.0118299722671509" 
0, ptrel, down_gluonsplitting, 0, -2.4, 2.4, 1000, 1400, 0, 1, "1.1052399873733521" 
