kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.981901168823"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.956216573715"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.963922023773"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.962510585785"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.967491209507"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.941275835037"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.906657814980"
0, kin, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9646530"
0, kin, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9430230"
0, kin, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.9577160"
0, kin, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.9522570"
0, kin, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.9614840"
0, kin, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.9221050"
0, kin, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.8589140"
0, kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.947893359267"
0, kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.946464289679"
0, kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.956989098002"
0, kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.956506333706"
0, kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.954062247701"
0, kin, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 1, "0.928469441772"
0, kin, down_statistic, 0, -2.4, 2.4, 300, 600, 0, 1, "0.864350036066"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.978955465317"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.955834087086"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.963729239368"
0, kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.961836828375"
0, kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.966620467418"
0, kin, down_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.940334559202"
0, kin, down_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.905751157165"
0, kin, down_hdamp, 0, -2.4, 2.4, 30, 50, 0, 1, "0.962263145447"
0, kin, down_hdamp, 0, -2.4, 2.4, 50, 70, 0, 1, "0.951435490846"
0, kin, down_hdamp, 0, -2.4, 2.4, 70, 100, 0, 1, "0.960066335678"
0, kin, down_hdamp, 0, -2.4, 2.4, 100, 140, 0, 1, "0.962318083668"
0, kin, down_hdamp, 0, -2.4, 2.4, 140, 200, 0, 1, "0.959751279831"
0, kin, down_hdamp, 0, -2.4, 2.4, 200, 300, 0, 1, "0.939393283367"
0, kin, down_hdamp, 0, -2.4, 2.4, 300, 600, 0, 1, "0.888524658680"
0, kin, down_qcdscale, 0, -2.4, 2.4, 30, 50, 0, 1, "0.972082157135"
0, kin, down_qcdscale, 0, -2.4, 2.4, 50, 70, 0, 1, "0.956120952058"
0, kin, down_qcdscale, 0, -2.4, 2.4, 70, 100, 0, 1, "0.962958101749"
0, kin, down_qcdscale, 0, -2.4, 2.4, 100, 140, 0, 1, "0.961548075199"
0, kin, down_qcdscale, 0, -2.4, 2.4, 140, 200, 0, 1, "0.961686262250"
0, kin, down_qcdscale, 0, -2.4, 2.4, 200, 300, 0, 1, "0.934686904192"
0, kin, down_qcdscale, 0, -2.4, 2.4, 300, 600, 0, 1, "0.903937841535"
0, kin, down_sel, 0, -2.4, 2.4, 30, 50, 0, 1, "0.977973564148"
0, kin, down_sel, 0, -2.4, 2.4, 50, 70, 0, 1, "0.953347923994"
0, kin, down_sel, 0, -2.4, 2.4, 70, 100, 0, 1, "0.961994179725"
0, kin, down_sel, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960585564613"
0, kin, down_sel, 0, -2.4, 2.4, 140, 200, 0, 1, "0.966717216539"
0, kin, down_sel, 0, -2.4, 2.4, 200, 300, 0, 1, "0.940334559202"
0, kin, down_sel, 0, -2.4, 2.4, 300, 600, 0, 1, "0.906476483417"
0, kin, down_trig, 0, -2.4, 2.4, 30, 50, 0, 1, "0.977973564148"
0, kin, down_trig, 0, -2.4, 2.4, 50, 70, 0, 1, "0.953347923994"
0, kin, down_trig, 0, -2.4, 2.4, 70, 100, 0, 1, "0.961994179725"
0, kin, down_trig, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960585564613"
0, kin, down_trig, 0, -2.4, 2.4, 140, 200, 0, 1, "0.966813965660"
0, kin, down_trig, 0, -2.4, 2.4, 200, 300, 0, 1, "0.940334559202"
0, kin, down_trig, 0, -2.4, 2.4, 300, 600, 0, 1, "0.906385817636"
0, kin, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "0.976991662979"
0, kin, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "0.955260357141"
0, kin, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "0.962958101749"
0, kin, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "0.958660543442"
0, kin, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "0.963621244669"
0, kin, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "0.936569455862"
0, kin, down_jes, 0, -2.4, 2.4, 300, 600, 0, 1, "0.903031183720"
0, kin, down_mistag, 0, -2.4, 2.4, 30, 50, 0, 1, "0.973064058304"
0, kin, down_mistag, 0, -2.4, 2.4, 50, 70, 0, 1, "0.951435490846"
0, kin, down_mistag, 0, -2.4, 2.4, 70, 100, 0, 1, "0.961030257702"
0, kin, down_mistag, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960585564613"
0, kin, down_mistag, 0, -2.4, 2.4, 140, 200, 0, 1, "0.964588735878"
0, kin, down_mistag, 0, -2.4, 2.4, 200, 300, 0, 1, "0.937510731697"
0, kin, down_mistag, 0, -2.4, 2.4, 300, 600, 0, 1, "0.897591236830"
0, kin, down_pileup, 0, -2.4, 2.4, 30, 50, 0, 1, "0.977973564148"
0, kin, down_pileup, 0, -2.4, 2.4, 50, 70, 0, 1, "0.953347923994"
0, kin, down_pileup, 0, -2.4, 2.4, 70, 100, 0, 1, "0.961994179725"
0, kin, down_pileup, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960585564613"
0, kin, down_pileup, 0, -2.4, 2.4, 140, 200, 0, 1, "0.966813965660"
0, kin, down_pileup, 0, -2.4, 2.4, 200, 300, 0, 1, "0.940334559202"
0, kin, down_pileup, 0, -2.4, 2.4, 300, 600, 0, 1, "0.906385817636"
0, kin, down_isr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.9800980"
0, kin, down_isr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.9518030"
