CSVv2;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptmax,discrMin,discrMax,formula
0,lt,central,0,0,2.4,20.0,30.0,0,1,0.949108302593
0,lt,up,0,0,2.4,20.0,30.0,0,1,1.0197377518
0,lt,down,0,0,2.4,20.0,30.0,0,1,0.878300711194
0,lt,up_jes,0,0,2.4,20.0,30.0,0,1,0.972686217124
0,lt,down_jes,0,0,2.4,20.0,30.0,0,1,0.940602719784
0,lt,up_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.950411915779
0,lt,down_gluonsplitting,0,0,2.4,20.0,30.0,0,1,0.947471141815
0,lt,up_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.974530100822
0,lt,down_bfragmentation,0,0,2.4,20.0,30.0,0,1,0.915143728256
0,lt,up_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.949108481407
0,lt,down_cfragmentation,0,0,2.4,20.0,30.0,0,1,0.949108481407
0,lt,up_dmux,0,0,2.4,20.0,30.0,0,1,0.949108481407
0,lt,down_dmux,0,0,2.4,20.0,30.0,0,1,0.948426485062
0,lt,up_ksl,0,0,2.4,20.0,30.0,0,1,0.949143350124
0,lt,down_ksl,0,0,2.4,20.0,30.0,0,1,0.949108481407
0,lt,up_cb,0,0,2.4,20.0,30.0,0,1,0.983337608169
0,lt,down_cb,0,0,2.4,20.0,30.0,0,1,0.914878997017
0,lt,up_ltothers,0,0,2.4,20.0,30.0,0,1,0.998297365681
0,lt,down_ltothers,0,0,2.4,20.0,30.0,0,1,0.899919239506
0,lt,up_statistic,0,0,2.4,20.0,30.0,0,1,0.958157305851
0,lt,down_statistic,0,0,2.4,20.0,30.0,0,1,0.940059299336
0,lt,central,0,0,2.4,30.0,50.0,0,1,0.958341836929
0,lt,up,0,0,2.4,30.0,50.0,0,1,1.01230351228
0,lt,down,0,0,2.4,30.0,50.0,0,1,0.903562980214
0,lt,up_jes,0,0,2.4,30.0,50.0,0,1,0.968790553829
0,lt,down_jes,0,0,2.4,30.0,50.0,0,1,0.945950345754
0,lt,up_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.960874438286
0,lt,down_gluonsplitting,0,0,2.4,30.0,50.0,0,1,0.955279707909
0,lt,up_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.968108057976
0,lt,down_bfragmentation,0,0,2.4,30.0,50.0,0,1,0.94655174017
0,lt,up_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.958341836929
0,lt,down_cfragmentation,0,0,2.4,30.0,50.0,0,1,0.958341836929
0,lt,up_dmux,0,0,2.4,30.0,50.0,0,1,0.958341836929
0,lt,down_dmux,0,0,2.4,30.0,50.0,0,1,0.959792435169
0,lt,up_ksl,0,0,2.4,30.0,50.0,0,1,0.958300232887
0,lt,down_ksl,0,0,2.4,30.0,50.0,0,1,0.958341836929
0,lt,up_cb,0,0,2.4,30.0,50.0,0,1,0.969954586061
0,lt,down_cb,0,0,2.4,30.0,50.0,0,1,0.946729087797
0,lt,up_ltothers,0,0,2.4,30.0,50.0,0,1,1.00995580977
0,lt,down_ltothers,0,0,2.4,30.0,50.0,0,1,0.90672786409
0,lt,up_statistic,0,0,2.4,30.0,50.0,0,1,0.961866367066
0,lt,down_statistic,0,0,2.4,30.0,50.0,0,1,0.954817306793
0,lt,central,0,0,2.4,50.0,70.0,0,1,0.986681044102
0,lt,up,0,0,2.4,50.0,70.0,0,1,1.00730300225
0,lt,down,0,0,2.4,50.0,70.0,0,1,0.939080802062
0,lt,up_jes,0,0,2.4,50.0,70.0,0,1,0.989645719528
0,lt,down_jes,0,0,2.4,50.0,70.0,0,1,0.943300541291
0,lt,up_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.993253111839
0,lt,down_gluonsplitting,0,0,2.4,50.0,70.0,0,1,0.978986203671
0,lt,up_bfragmentation,0,0,2.4,50.0,70.0,0,1,1.00029408932
0,lt,down_bfragmentation,0,0,2.4,50.0,70.0,0,1,0.974992156029
0,lt,up_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.986681461334
0,lt,down_cfragmentation,0,0,2.4,50.0,70.0,0,1,0.986681461334
