CSVv2;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0404"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94921"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1317"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0157"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0651"
0,TnPH,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0787"
0,TnPH,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97063"
0,TnPH,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0618"
0,TnPH,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0226"
0,TnPH,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0565"
0,TnPH,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0309"
0,TnPH,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0529"
0,TnPH,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0338"
0,TnPH,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0958"
0,TnPH,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0026"
0,TnPH,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0253"
0,TnPH,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0253"
0,TnPH,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0457"
0,TnPH,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0418"
0,TnPH,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0582"
0,TnPH,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0256"
0,TnPH,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0773"
0,TnPH,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0404"
0,TnPH,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0698"
0,TnPH,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0419"
0,TnPH,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0449"
0,TnPH,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0419"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99791"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92862"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0672"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97726"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0186"
0,TnPH,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0191"
0,TnPH,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.95903"
0,TnPH,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.014"
0,TnPH,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.98804"
0,TnPH,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0059"
0,TnPH,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99167"
0,TnPH,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0023"
0,TnPH,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99618"
0,TnPH,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0394"
0,TnPH,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.968"
0,TnPH,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99199"
0,TnPH,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99199"
0,TnPH,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0017"
0,TnPH,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99776"
0,TnPH,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0189"
0,TnPH,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97449"
0,TnPH,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0299"
0,TnPH,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0049"
0,TnPH,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.018"
0,TnPH,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0009"
0,TnPH,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97182"
0,TnPH,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0192"
0,TnPH,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0231"
0,TnPH,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94064"
0,TnPH,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.1056"
0,TnPH,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0044"
0,TnPH,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0418"
