kin ;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, kin, central, 0, -2.4, 2.4, 30, 50, 0, 1, "0.989384472370"
0, kin, central, 0, -2.4, 2.4, 50, 70, 0, 1, "0.965957880020"
0, kin, central, 0, -2.4, 2.4, 70, 100, 0, 1, "0.973147630692"
0, kin, central, 0, -2.4, 2.4, 100, 140, 0, 1, "0.970526456833"
0, kin, central, 0, -2.4, 2.4, 140, 200, 0, 1, "0.976295053959"
0, kin, central, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950989305973"
0, kin, central, 0, -2.4, 2.4, 300, 600, 0, 1, "0.946254849434"
0, kin, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.972149"
0, kin, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.952791"
0, kin, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.967001"
0, kin, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.960357"
0, kin, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.970651"
0, kin, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.932254"
0, kin, down, 0, -2.4, 2.4, 300, 600, 0, 1, "0.90008"
0, kin, down_statistic, 0, -2.4, 2.4, 30, 50, 0, 1, "0.956056295802"
0, kin, down_statistic, 0, -2.4, 2.4, 50, 70, 0, 1, "0.958008726374"
0, kin, down_statistic, 0, -2.4, 2.4, 70, 100, 0, 1, "0.965763345786"
0, kin, down_statistic, 0, -2.4, 2.4, 100, 140, 0, 1, "0.965301569755"
0, kin, down_statistic, 0, -2.4, 2.4, 140, 200, 0, 1, "0.963926278183"
0, kin, down_statistic, 0, -2.4, 2.4, 200, 300, 0, 1, "0.939675238839"
0, kin, down_statistic, 0, -2.4, 2.4, 300, 600, 0, 1, "0.902726836101"
0, kin, down_isr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.987582"
0, kin, down_fsr, 0, -2.4, 2.4, 30, 50, 0, 1, "0.972557"
0, kin, down_isr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.961544"
0, kin, down_fsr, 0, -2.4, 2.4, 50, 70, 0, 1, "0.95391"
0, kin, down_isr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.969918"
0, kin, down_fsr, 0, -2.4, 2.4, 70, 100, 0, 1, "0.968703"
0, kin, down_isr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.968802"
0, kin, down_fsr, 0, -2.4, 2.4, 100, 140, 0, 1, "0.961015"
0, kin, down_isr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.975366"
0, kin, down_fsr, 0, -2.4, 2.4, 140, 200, 0, 1, "0.973057"
0, kin, down_isr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.945593"
0, kin, down_fsr, 0, -2.4, 2.4, 200, 300, 0, 1, "0.935302"
0, kin, down_isr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.94394"
0, kin, down_fsr, 0, -2.4, 2.4, 300, 600, 0, 1, "0.908865"
0, kin, down_jer, 0, -2.4, 2.4, 30, 50, 0, 1, "0.986416318953"
0, kin, down_jer, 0, -2.4, 2.4, 50, 70, 0, 1, "0.965088517928"
0, kin, down_jer, 0, -2.4, 2.4, 70, 100, 0, 1, "0.972953001166"
0, kin, down_jer, 0, -2.4, 2.4, 100, 140, 0, 1, "0.969750035668"
0, kin, down_jer, 0, -2.4, 2.4, 140, 200, 0, 1, "0.975514017916"
0, kin, down_jer, 0, -2.4, 2.4, 200, 300, 0, 1, "0.950038316667"
0, kin, down_jer, 0, -2.4, 2.4, 300, 600, 0, 1, "0.945781722009"
0, kin, down_hdamp, 0, -2.4, 2.4, 30, 50, 0, 1, "0.969596782923"
0, kin, down_hdamp, 0, -2.4, 2.4, 50, 70, 0, 1, "0.962094048500"
