DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, system8, central,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.98209
0, system8, down,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.925167
0, system8, up,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.03901
0, system8, down_statistic,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.973608
0, system8, up_statistic,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.990572
0, system8, up_jetaway,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.975059
0, system8, down_jetaway,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989121
0, system8, up_mupt,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.998109
0, system8, down_mupt,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.966071
0, system8, up_ptrel,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.03317
0, system8, down_ptrel,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.93101
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.982717
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.981463
0, system8, up_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.972231
0, system8, down_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.991949
0, system8, up_mudr,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.991723
0, system8, down_mudr,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.972457
0, system8, up_pileup,           0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.989273
0, system8, down_pileup,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.974907
0, system8, up_jes,          0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.985423
0, system8, down_jes,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.978757
0, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.966447
0, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.948698
0, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.984196
0, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.96227
0, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.970624
0, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.978455
0, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.954439
0, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.963424
0, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.96947
0, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.97763
0, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.955264
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.965677
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.967217
0, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.964144
0, system8, down_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.96875
0, system8, up_mudr,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.967349
0, system8, down_mudr,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.965545
0, system8, up_pileup,           0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.969948
0, system8, down_pileup,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.962946
0, system8, up_jes,          0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.966898
0, system8, down_jes,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.965996
0, system8, central,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.976855
0, system8, down,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.96473
0, system8, up,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.98898
0, system8, down_statistic,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.971425
0, system8, up_statistic,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.982285
0, system8, up_jetaway,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.983966
0, system8, down_jetaway,    0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.969744
0, system8, up_mupt,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97724
0, system8, down_mupt,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97647
0, system8, up_ptrel,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.983174
0, system8, down_ptrel,      0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.970536
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.975993
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.977717
0, system8, up_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.974045
0, system8, down_bfragmentation, 0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.979665
0, system8, up_mudr,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.979431
0, system8, down_mudr,       0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.974279
0, system8, up_pileup,           0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97989
0, system8, down_pileup,         0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.97382
0, system8, up_jes,          0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.975305
0, system8, down_jes,        0, 0.0, 2.4, 50.0, 70.0, 0, 1, 0.978405
0, system8, central,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.978251
0, system8, down,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.670366
0, system8, up,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.28614
0, system8, down_statistic,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.97188
0, system8, up_statistic,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.984622
0, system8, up_jetaway,      0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.973358
0, system8, down_jetaway,    0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.983144
0, system8, up_mupt,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.76916
0, system8, down_mupt,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.18734
0, system8, up_ptrel,        0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.75245
0, system8, down_ptrel,      0, 0.0, 2.4, 70.0, 100.0, 0, 1, 1.20405
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.982591
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.973911
0, system8, up_bfragmentation, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.97687
0, system8, down_bfragmentation, 0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.979632
0, system8, up_mudr,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.979632
0, system8, down_mudr,       0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.97687
0, system8, up_pileup,           0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.977673
0, system8, down_pileup,         0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.978829
0, system8, up_jes,          0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.977569
0, system8, down_jes,        0, 0.0, 2.4, 70.0, 100.0, 0, 1, 0.978933
0, system8, central,    0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.760003
0, system8, down,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.644665
0, system8, up,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.875341
0, system8, down_statistic,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.755676
0, system8, up_statistic,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.76433
0, system8, up_jetaway,      0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.776388
0, system8, down_jetaway,    0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.743618
0, system8, up_mupt,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.783407
0, system8, down_mupt,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.736599
0, system8, up_ptrel,        0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.757232
0, system8, down_ptrel,      0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.762774
0, system8, up_gluonsplitting, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.648735
0, system8, down_gluonsplitting, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.871271
0, system8, up_bfragmentation, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.765887
0, system8, down_bfragmentation, 0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.754119
0, system8, up_mudr,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.765887
0, system8, down_mudr,       0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.754119
0, system8, up_pileup,           0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.763091
0, system8, down_pileup,         0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.756915
0, system8, up_jes,          0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.760911
0, system8, down_jes,        0, 0.0, 2.4, 100.0, 140.0, 0, 1, 0.759095
1, system8, central,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.955856
1, system8, down,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.81647
1, system8, up,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.09524
1, system8, down_statistic,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.943912
1, system8, up_statistic,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.9678
1, system8, up_jetaway,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.965194
1, system8, down_jetaway,    0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.946518
1, system8, up_mupt,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.833399
1, system8, down_mupt,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.07831
1, system8, up_ptrel,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 1.01359
1, system8, down_ptrel,      0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.898122
1, system8, up_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.956509
1, system8, down_gluonsplitting, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.955203
1, system8, up_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.934834
1, system8, down_bfragmentation, 0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.976878
1, system8, up_mudr,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.972244
1, system8, down_mudr,       0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.939468
1, system8, up_pileup,           0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.968419
1, system8, down_pileup,         0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.943293
1, system8, up_jes,          0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.956879
1, system8, down_jes,        0, 0.0, 2.4, 20.0, 30.0, 0, 1, 0.954833
1, system8, central,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.940704
1, system8, down,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.913193
1, system8, up,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.968215
1, system8, down_statistic,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.935188
1, system8, up_statistic,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.94622
1, system8, up_jetaway,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.956569
1, system8, down_jetaway,    0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.924839
1, system8, up_mupt,         0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.933246
1, system8, down_mupt,       0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.948162
1, system8, up_ptrel,        0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.956585
1, system8, down_ptrel,      0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.924823
1, system8, up_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.941696
1, system8, down_gluonsplitting, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.939712
1, system8, up_bfragmentation, 0, 0.0, 2.4, 30.0, 50.0, 0, 1, 0.931079
