DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0531"
0,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95777"
0,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1485"
0,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0284"
0,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0778"
0,TnP,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99359"
0,TnP,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1127"
0,TnP,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0335"
0,TnP,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0727"
0,TnP,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.039"
0,TnP,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0673"
0,TnP,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0411"
0,TnP,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0652"
0,TnP,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0012"
0,TnP,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1051"
0,TnP,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0378"
0,TnP,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0685"
0,TnP,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0468"
0,TnP,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0595"
0,TnP,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0354"
0,TnP,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0709"
0,TnP,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0299"
0,TnP,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0763"
0,TnP,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0348"
0,TnP,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0714"
0,TnP,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0391"
0,TnP,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0672"
0,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99995"
0,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94128"
0,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0586"
0,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.98426"
0,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0156"
