DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0743"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91377"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.2348"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97264"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1759"
0,TnPL,down_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1326"
0,TnPL,up_jes,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96939"
0,TnPL,down_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1168"
0,TnPL,up_jer,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0669"
0,TnPL,down_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1004"
0,TnPL,up_fsr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0704"
0,TnPL,down_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0991"
0,TnPL,up_isr,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0709"
0,TnPL,down_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1327"
0,TnPL,up_pileup,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0381"
0,TnPL,down_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0306"
0,TnPL,up_bkg,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0306"
0,TnPL,down_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0873"
0,TnPL,up_bdecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0861"
0,TnPL,down_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.1028"
0,TnPL,up_bfragmentation,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0653"
0,TnPL,down_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0395"
0,TnPL,up_topmass,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0545"
0,TnPL,down_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0533"
0,TnPL,up_hdamp,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0373"
0,TnPL,down_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0737"
0,TnPL,up_tune,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0848"
0,TnPL,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.98642"
0,TnPL,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91509"
0,TnPL,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0577"
0,TnPL,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.96256"
0,TnPL,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0103"
0,TnPL,down_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0042"
0,TnPL,up_jes,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.96128"
0,TnPL,down_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0087"
0,TnPL,up_jer,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99676"
0,TnPL,down_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0102"
0,TnPL,up_fsr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0072"
0,TnPL,down_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0121"
0,TnPL,up_isr,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0044"
0,TnPL,down_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0284"
0,TnPL,up_pileup,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.9898"
0,TnPL,down_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.96518"
0,TnPL,up_bkg,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.96518"
0,TnPL,down_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.009"
0,TnPL,up_bdecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0089"
0,TnPL,down_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0102"
0,TnPL,up_bfragmentation,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.0043"
0,TnPL,down_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.98586"
0,TnPL,up_topmass,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99613"
0,TnPL,down_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.99953"
0,TnPL,up_hdamp,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.97506"
0,TnPL,down_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.96382"
0,TnPL,up_tune,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.98206"
0,TnPL,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97668"
0,TnPL,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.94641"
0,TnPL,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.0069"
0,TnPL,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.96213"
0,TnPL,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.99122"
0,TnPL,down_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.98925"
0,TnPL,up_jes,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.96081"
0,TnPL,down_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.98015"
0,TnPL,up_jer,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97472"
0,TnPL,down_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97535"
0,TnPL,up_fsr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97796"
0,TnPL,down_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97767"
0,TnPL,up_isr,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97572"
0,TnPL,down_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.98865"
0,TnPL,up_pileup,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.96896"
0,TnPL,down_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97252"
0,TnPL,up_bkg,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97252"
0,TnPL,down_bdecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.97678"
