CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49192"
2,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.44313"
2,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.5407"
2,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.47767"
2,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50616"
2,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49827"
2,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.4655"
2,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50265"
2,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48271"
2,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50521"
2,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48211"
2,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50041"
2,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48871"
2,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.52473"
2,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.47071"
2,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48449"
2,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48449"
2,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49645"
2,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49329"
2,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50612"
2,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48076"
2,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51426"
2,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49131"
2,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.5109"
