ComCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.081703"
2,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.068537"
2,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.09487"
2,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.075922"
2,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.087485"
2,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.085482"
2,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.083167"
2,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.085152"
2,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.082853"
2,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.085975"
2,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.082758"
2,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.08602"
2,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.082358"
2,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.08675"
2,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.082364"
2,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.080635"
2,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.080635"
2,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.084457"
2,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.084381"
2,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.084842"
2,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.08339"
2,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.087033"
2,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.082452"
2,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.075953"
2,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.089015"
2,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.077707"
2,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.086673"
2,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.090809"
2,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.073215"
2,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.1084"
2,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.083448"
2,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.098169"
2,TnPL,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.097234"
