DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.75348"
1,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.68467"
1,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.82229"
1,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.73801"
1,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.76895"
1,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.77646"
1,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.71567"
1,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.77197"
1,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.74597"
1,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.77051"
1,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.74579"
1,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.76559"
1,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.75009"
1,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.80346"
1,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.72585"
1,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.74247"
1,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.74247"
1,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.75897"
1,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.75489"
1,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.77212"
1,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.74057"
1,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.78078"
1,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.75659"
1,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.78358"
1,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.76015"
1,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.76381"
1,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.76981"
1,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.72927"
1,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.64332"
1,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.81522"
1,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.706"
1,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.75253"
1,TnPL,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.77852"
1,TnPL,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.66859"
1,TnPL,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.75099"
1,TnPL,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.72323"
1,TnPL,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.74821"
1,TnPL,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.72519"
1,TnPL,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.74584"
1,TnPL,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.72761"
1,TnPL,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.77652"
1,TnPL,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.70339"
1,TnPL,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.69772"
1,TnPL,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.69772"
1,TnPL,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.73903"
1,TnPL,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.737"
1,TnPL,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.74555"
1,TnPL,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.72478"
