DeepCl;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31937"
0,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.26312"
0,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.37561"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30454"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3342"
0,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30664"
0,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.35133"
0,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31092"
0,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32954"
0,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30893"
0,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32917"
0,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31262"
0,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32627"
0,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.28802"
0,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34428"
0,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3288"
0,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3288"
0,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31721"
0,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32112"
0,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30817"
0,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33291"
0,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29413"
0,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31039"
0,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.28709"
0,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31798"
0,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30727"
0,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30436"
0,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33469"
0,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.26655"
0,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.40283"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31459"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.35479"
0,TnPL,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31242"
0,TnPL,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.38286"
0,TnPL,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31887"
0,TnPL,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34007"
0,TnPL,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31815"
0,TnPL,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33826"
0,TnPL,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31966"
0,TnPL,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33616"
0,TnPL,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29675"
0,TnPL,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.35389"
0,TnPL,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.36016"
0,TnPL,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.36016"
0,TnPL,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32647"
0,TnPL,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32821"
0,TnPL,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32169"
0,TnPL,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33732"
0,TnPL,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32919"
0,TnPL,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33002"
0,TnPL,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32153"
0,TnPL,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32382"
0,TnPL,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3071"
0,TnPL,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3154"
0,TnPH,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27804"
0,TnPH,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23016"
0,TnPH,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32593"
0,TnPH,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26478"
0,TnPH,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29131"
0,TnPH,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27136"
0,TnPH,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29231"
0,TnPH,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26609"
0,TnPH,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28283"
0,TnPH,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26862"
0,TnPH,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28432"
0,TnPH,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2752"
0,TnPH,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27639"
0,TnPH,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.24335"
0,TnPH,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.30331"
0,TnPH,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28173"
0,TnPH,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28173"
0,TnPH,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27333"
0,TnPH,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27782"
0,TnPH,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26214"
0,TnPH,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29302"
0,TnPH,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28297"
0,TnPH,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26512"
0,TnPH,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.24547"
0,TnPH,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28545"
0,TnPH,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27625"
0,TnPH,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27637"
0,TnPL,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2868"
0,TnPL,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.24747"
0,TnPL,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32614"
0,TnPL,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27062"
0,TnPL,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.30298"
0,TnPL,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27674"
0,TnPL,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.30612"
0,TnPL,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28655"
0,TnPL,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29683"
0,TnPL,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29458"
0,TnPL,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29336"
0,TnPL,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29117"
0,TnPL,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29677"
0,TnPL,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2731"
0,TnPL,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.30446"
0,TnPL,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29397"
0,TnPL,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29397"
0,TnPL,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2934"
0,TnPL,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29393"
0,TnPL,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29226"
0,TnPL,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29616"
0,TnPL,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28304"
0,TnPL,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27434"
0,TnPL,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2853"
0,TnPL,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.31234"
0,TnPL,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29609"
0,TnPL,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29389"
0,TnPH,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26813"
0,TnPH,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21685"
0,TnPH,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3194"
0,TnPH,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2511"
0,TnPH,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.28515"
0,TnPH,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.28232"
0,TnPH,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27514"
0,TnPH,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2578"
0,TnPH,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2748"
0,TnPH,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26205"
0,TnPH,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2712"
0,TnPH,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26739"
0,TnPH,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26452"
0,TnPH,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.24387"
0,TnPH,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.28668"
0,TnPH,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26993"
0,TnPH,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26993"
0,TnPH,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26346"
0,TnPH,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26881"
0,TnPH,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2517"
0,TnPH,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.28366"
0,TnPH,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.26433"
0,TnPH,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.25976"
0,TnPH,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22515"
0,TnPH,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.27559"
0,TnPH,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2474"
0,TnPH,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.25006"
0,TnPL,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32631"
0,TnPL,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3126"
0,TnPL,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.34001"
0,TnPL,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3178"
0,TnPL,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.33482"
0,TnPL,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32225"
0,TnPL,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32983"
0,TnPL,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32387"
0,TnPL,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32545"
0,TnPL,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32514"
0,TnPL,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32467"
0,TnPL,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3233"
0,TnPL,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32683"
0,TnPL,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3188"
0,TnPL,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32925"
0,TnPL,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32833"
0,TnPL,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32833"
0,TnPL,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32448"
0,TnPL,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32525"
0,TnPL,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3246"
0,TnPL,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32505"
0,TnPL,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32976"
0,TnPL,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.32365"
0,TnPL,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3205"
0,TnPL,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3227"
0,TnPL,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.33214"
0,TnPL,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3268"
0,TnPH,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30031"
0,TnPH,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21702"
0,TnPH,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3836"
0,TnPH,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.27832"
0,TnPH,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.32231"
0,TnPH,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29424"
0,TnPH,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29813"
0,TnPH,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30347"
0,TnPH,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31134"
0,TnPH,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3052"
0,TnPH,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30628"
0,TnPH,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30896"
0,TnPH,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30201"
0,TnPH,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29607"
0,TnPH,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3145"
0,TnPH,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29594"
0,TnPH,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29594"
0,TnPH,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30287"
0,TnPH,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30849"
0,TnPH,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29978"
0,TnPH,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31407"
0,TnPH,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.25985"
0,TnPH,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.26986"
0,TnPH,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.22639"
0,TnPH,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2827"
0,TnPH,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.26494"
0,TnPH,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.25044"
0,TnPL,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29857"
0,TnPL,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.28238"
0,TnPL,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.31476"
0,TnPL,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.28856"
0,TnPL,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30857"
0,TnPL,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30272"
0,TnPL,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.298"
0,TnPL,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29738"
0,TnPL,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30008"
0,TnPL,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29987"
0,TnPL,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29912"
