CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49708"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.44856"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.5456"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48536"
2,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50879"
2,TnP,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.47805"
2,TnP,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51611"
2,TnP,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48749"
2,TnP,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50667"
2,TnP,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.4854"
2,TnP,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50876"
2,TnP,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49079"
2,TnP,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50337"
2,TnP,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.4698"
2,TnP,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.52435"
2,TnP,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49107"
2,TnP,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50309"
2,TnP,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49351"
2,TnP,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50065"
2,TnP,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48404"
2,TnP,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51011"
2,TnP,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.4783"
2,TnP,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51585"
2,TnP,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48231"
2,TnP,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51185"
2,TnP,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.48894"
2,TnP,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50521"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.46949"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.43051"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.50846"
2,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.45872"
2,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.48025"
2,TnP,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.44975"
2,TnP,up_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.48922"
2,TnP,down_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.46286"
2,TnP,up_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.47611"
2,TnP,down_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.4663"
2,TnP,up_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.47268"
2,TnP,down_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.46541"
2,TnP,up_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.47357"
2,TnP,down_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.44803"
2,TnP,up_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.49094"
2,TnP,down_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.45818"
2,TnP,up_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.48079"
2,TnP,down_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.46826"
