DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92588"
0,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.85723"
0,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99452"
0,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91158"
0,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94017"
0,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.88278"
0,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96898"
0,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91152"
0,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94023"
0,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91485"
0,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9369"
0,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91802"
0,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93373"
0,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.88713"
0,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96462"
0,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91235"
0,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93941"
0,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92322"
0,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92854"
0,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.90937"
0,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94238"
0,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9159"
0,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93585"
0,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91453"
0,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93722"
0,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.91242"
0,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93933"
