DeepCl;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32105"
0,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.26501"
0,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.37709"
0,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30912"
0,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33298"
0,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29401"
0,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34809"
0,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31159"
0,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33051"
0,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31089"
0,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33121"
0,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31403"
0,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32807"
0,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29259"
0,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34951"
0,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30901"
0,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33309"
0,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31896"
0,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32314"
0,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3091"
0,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.333"
0,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30266"
0,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33943"
0,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2986"
