DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30803"
1,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.28469"
1,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33137"
1,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2989"
1,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31716"
1,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30154"
1,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31452"
1,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30595"
1,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31011"
1,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30513"
1,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31093"
1,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30527"
1,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31079"
1,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29812"
1,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31794"
1,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30557"
1,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31049"
1,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30531"
1,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31076"
1,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3048"
1,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31126"
1,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3004"
1,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31566"
1,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30079"
1,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31527"
1,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29322"
1,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32284"
1,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27744"
1,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.25886"
1,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29603"
1,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26994"
1,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28495"
1,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27593"
1,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27896"
1,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27497"
1,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27991"
1,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27409"
1,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2808"
1,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27395"
1,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28093"
1,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27197"
1,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28292"
1,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27659"
1,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27829"
1,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27395"
1,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28094"
1,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27396"
1,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28092"
1,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26953"
1,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28535"
1,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.26586"
1,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.28902"
1,TnP,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.27479"
1,TnP,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2801"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29585"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.28607"
1,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30563"
1,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.28878"
1,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30292"
1,TnP,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29313"
1,TnP,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29857"
1,TnP,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29543"
1,TnP,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29627"
1,TnP,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2956"
1,TnP,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2961"
1,TnP,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29551"
1,TnP,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29619"
1,TnP,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29405"
1,TnP,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29765"
1,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29568"
1,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29602"
1,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29562"
1,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29607"
1,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2947"
1,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.297"
1,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29234"
1,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29935"
1,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29139"
1,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.30031"
1,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29479"
1,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.29691"
1,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29468"
1,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.28447"
1,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.30488"
1,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.28706"
1,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3023"
1,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29201"
1,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29734"
1,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29418"
1,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29518"
1,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29374"
1,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29561"
1,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29411"
1,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29524"
1,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29407"
1,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29528"
1,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29347"
1,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29589"
1,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29413"
1,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29522"
1,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29332"
1,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29603"
1,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29279"
1,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29657"
1,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2937"
1,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29565"
1,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2903"
1,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.29906"
1,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32014"
1,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.28868"
1,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.3516"
1,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.30721"
1,TnP,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.33306"
1,TnP,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31132"
1,TnP,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32896"
1,TnP,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.3161"
1,TnP,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32418"
1,TnP,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.3165"
1,TnP,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32378"
1,TnP,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31599"
1,TnP,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32428"
1,TnP,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.316"
1,TnP,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32427"
1,TnP,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31935"
1,TnP,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32093"
1,TnP,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31644"
1,TnP,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32384"
1,TnP,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.3159"
1,TnP,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32437"
1,TnP,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.30201"
1,TnP,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.33827"
1,TnP,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.30665"
1,TnP,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.33363"
1,TnP,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.31698"
1,TnP,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.32329"
