DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22775"
2,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20465"
2,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.25085"
2,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22084"
2,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23466"
2,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2174"
2,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2381"
2,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22211"
2,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23339"
2,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22132"
2,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23419"
2,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22189"
2,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23361"
2,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2181"
2,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23741"
2,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22354"
2,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23197"
2,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22268"
2,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23282"
2,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22193"
2,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23357"
2,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2217"
2,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23381"
2,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22125"
2,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23426"
2,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22218"
2,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23332"
2,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22664"
2,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.20951"
2,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.24378"
2,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22114"
2,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23215"
2,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.21952"
2,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23377"
2,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22248"
2,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23081"
2,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22359"
2,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2297"
2,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22429"
2,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.229"
2,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.21824"
2,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23505"
2,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22583"
2,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22746"
2,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.2244"
2,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22889"
2,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22395"
2,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22934"
2,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22273"
2,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23056"
2,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.21925"
2,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23404"
2,TnP,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.22148"
2,TnP,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.23181"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20096"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.1909"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21102"
2,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19523"
2,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20668"
2,TnP,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19875"
2,TnP,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20316"
2,TnP,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19974"
2,TnP,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20218"
2,TnP,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20036"
2,TnP,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20156"
2,TnP,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20064"
2,TnP,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20127"
2,TnP,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.1991"
2,TnP,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20281"
2,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20088"
2,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20104"
2,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20074"
2,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20118"
2,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20048"
2,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20144"
2,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19622"
2,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2057"
2,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19849"
2,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20343"
2,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.19892"
2,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.203"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.19805"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.18533"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21078"
