DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0479"
1,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9639"
1,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1319"
1,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.01"
1,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0858"
1,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0176"
1,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.056"
1,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0325"
1,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.038"
1,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.03"
1,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0382"
1,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0334"
1,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0352"
1,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99798"
1,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0648"
1,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0552"
1,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0552"
1,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0331"
1,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0356"
1,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0262"
1,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0451"
1,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0056"
1,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0535"
1,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0138"
1,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0312"
1,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0017"
1,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0498"
1,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0804"
1,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96013"
1,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.2007"
1,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0251"
1,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1357"
1,TnPL,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0522"
1,TnPL,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0967"
1,TnPL,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1002"
1,TnPL,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0872"
1,TnPL,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0876"
1,TnPL,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0859"
1,TnPL,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0814"
1,TnPL,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0926"
1,TnPL,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0592"
1,TnPL,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1077"
1,TnPL,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0925"
1,TnPL,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0925"
1,TnPL,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0858"
1,TnPL,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0873"
1,TnPL,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0872"
1,TnPL,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0872"
1,TnPL,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0642"
1,TnPL,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0596"
1,TnPL,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0435"
1,TnPL,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1183"
