DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95799"
2,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.85842"
2,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0576"
2,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92145"
2,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99452"
2,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0182"
2,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94068"
2,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98897"
2,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9624"
2,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99462"
2,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96167"
2,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99194"
2,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96068"
2,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0074"
2,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95425"
2,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94481"
2,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94481"
2,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98055"
2,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97633"
2,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99013"
2,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96042"
2,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99546"
2,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98153"
2,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95435"
2,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0033"
2,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96025"
2,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98996"
2,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99777"
2,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.85766"
2,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1379"
2,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.94886"
2,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0467"
2,TnPL,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0345"
2,TnPL,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.9294"
2,TnPL,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0439"
2,TnPL,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0008"
2,TnPL,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0447"
2,TnPL,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0039"
