DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0431"
0,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96574"
0,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1204"
0,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.027"
0,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0592"
0,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99451"
0,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0916"
0,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0269"
0,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0592"
0,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0307"
0,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0555"
0,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0342"
0,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0519"
0,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99942"
0,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0867"
0,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0278"
0,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0583"
0,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0401"
0,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0461"
0,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0245"
0,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0617"
0,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0318"
0,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0543"
0,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0303"
0,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0559"
0,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0279"
0,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0582"
0,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99058"
0,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95589"
0,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0253"
0,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98006"
0,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0011"
0,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97499"
0,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0062"
0,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98401"
0,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99714"
0,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98798"
0,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99317"
0,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98751"
0,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99364"
0,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97138"
0,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0098"
0,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98313"
0,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99802"
0,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98762"
0,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99353"
0,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98212"
0,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99903"
0,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98581"
0,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99534"
0,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97348"
0,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0077"
0,TnP,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98838"
0,TnP,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99277"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95776"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.94687"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.96866"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.95014"
