DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0177"
1,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.92469"
1,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.1107"
1,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0003"
1,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0351"
1,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96952"
1,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0658"
1,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99855"
1,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0368"
1,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99982"
1,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0355"
1,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0056"
1,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0298"
1,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96312"
1,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0722"
1,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0008"
1,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0345"
1,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0121"
1,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0232"
1,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99607"
1,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0393"
1,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98995"
1,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0454"
1,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98679"
1,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0486"
1,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99874"
1,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0366"
1,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9812"
1,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9364"
1,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.026"
1,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96853"
1,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99386"
1,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96112"
1,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0013"
1,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97161"
1,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99079"
1,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97601"
1,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98638"
1,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97594"
1,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98646"
1,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95424"
1,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0082"
1,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97207"
1,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99033"
1,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97738"
1,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98502"
1,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97102"
1,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99138"
1,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97739"
1,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98501"
1,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96349"
1,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99891"
1,TnP,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97179"
1,TnP,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.99061"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92265"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.90658"
1,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93872"
1,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91285"
1,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93244"
1,TnP,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91698"
1,TnP,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92832"
1,TnP,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92006"
1,TnP,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92523"
1,TnP,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92208"
1,TnP,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92322"
1,TnP,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92096"
1,TnP,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92434"
1,TnP,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91414"
1,TnP,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.93116"
1,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91982"
1,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92547"
1,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92176"
1,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92353"
1,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92074"
1,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92455"
1,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92055"
1,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92474"
1,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92199"
1,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92331"
1,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.91758"
1,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.92772"
1,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95606"
1,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.9404"
1,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.97171"
1,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.9453"
1,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.96682"
1,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95249"
1,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95962"
1,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.9539"
1,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95821"
1,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95549"
1,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95662"
1,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.9559"
1,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95622"
1,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95346"
1,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95865"
1,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95454"
1,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95757"
1,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95577"
1,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95634"
1,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95486"
1,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95726"
1,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95126"
1,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.96086"
1,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95117"
1,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.96095"
1,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.94866"
1,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.96346"
1,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94467"
1,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.90435"
1,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.98499"
1,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.92482"
1,TnP,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.96452"
1,TnP,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.93165"
1,TnP,up_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.95769"
1,TnP,down_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94034"
1,TnP,up_JER,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.949"
1,TnP,down_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94106"
1,TnP,up_FSR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94828"
1,TnP,down_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94152"
1,TnP,up_ISR,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94782"
1,TnP,down_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94207"
1,TnP,up_PU,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94727"
1,TnP,down_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94161"
1,TnP,up_BKG,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94773"
1,TnP,down_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94141"
1,TnP,up_BDecay,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94793"
1,TnP,down_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.94144"
1,TnP,up_BFrag,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.9479"
1,TnP,down_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.91984"
1,TnP,up_MTOP,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.9695"
1,TnP,down_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.93429"
1,TnP,up_HD,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.95505"
1,TnP,down_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.93"
1,TnP,up_TUNE,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.95935"
