DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99424"
2,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.89986"
2,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0886"
2,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97497"
2,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0135"
2,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.95063"
2,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0379"
2,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97743"
2,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.011"
2,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97492"
2,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0136"
2,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.98276"
2,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0057"
2,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.93891"
2,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0496"
2,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97916"
2,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0093"
2,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99051"
2,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.99797"
2,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97222"
2,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0163"
2,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96131"
2,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.0272"
2,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.96349"
2,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.025"
2,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.97445"
2,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"1.014"
2,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96508"
2,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.90562"
2,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.0245"
2,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95196"
2,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9782"
2,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.94402"
2,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.98613"
2,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95194"
2,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97821"
2,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96081"
2,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96935"
2,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96068"
2,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96947"
2,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.92811"
2,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"1.002"
2,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95395"
2,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.9762"
2,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96314"
2,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.96702"
2,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.95492"
2,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.97523"
