CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90377"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.82451"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98302"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.88231"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92522"
0,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93699"
0,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.84313"
0,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92233"
0,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.8883"
0,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91769"
0,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89543"
0,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91462"
0,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89798"
0,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95186"
0,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.87085"
0,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89063"
0,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89063"
0,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90835"
0,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90494"
0,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91918"
0,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89084"
0,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93577"
0,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90375"
0,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92929"
0,TnPH,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90507"
0,TnPH,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90766"
0,TnPH,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90504"
0,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93281"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.81251"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0531"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.8828"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98282"
0,TnPL,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99081"
0,TnPL,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.83824"
0,TnPL,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9608"
0,TnPL,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91939"
0,TnPL,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94913"
0,TnPL,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9216"
0,TnPL,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94699"
0,TnPL,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92477"
0,TnPL,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99271"
0,TnPL,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89481"
0,TnPL,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89733"
0,TnPL,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89733"
0,TnPL,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93782"
0,TnPL,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93658"
0,TnPL,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94871"
0,TnPL,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9182"
0,TnPL,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89985"
0,TnPL,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91758"
0,TnPL,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91943"
0,TnPL,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91316"
0,TnPL,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92603"
0,TnPL,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93827"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.88141"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.82021"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94261"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.86317"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89965"
0,TnPH,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90009"
0,TnPH,up_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.84707"
0,TnPH,down_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89561"
0,TnPH,up_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.8727"
