CSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.69882"
1,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.63357"
1,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.76407"
1,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68115"
1,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71649"
1,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.72245"
1,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.65996"
1,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71822"
1,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.69321"
1,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71754"
1,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.69342"
1,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71289"
1,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.698"
1,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.74532"
1,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.67433"
1,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68701"
1,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68701"
1,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70806"
1,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70423"
1,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71872"
1,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68947"
1,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.725"
1,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71084"
1,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70916"
1,TnPH,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70888"
1,TnPH,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70521"
1,TnPH,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70973"
1,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.67711"
1,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57763"
1,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.77659"
1,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.64939"
1,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70483"
1,TnPL,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.73754"
1,TnPL,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.60444"
1,TnPL,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70311"
1,TnPL,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.66631"
1,TnPL,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.6966"
1,TnPL,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.6667"
1,TnPL,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.69245"
1,TnPL,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.67127"
1,TnPL,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.72955"
1,TnPL,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.6434"
1,TnPL,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.64331"
1,TnPL,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.64331"
1,TnPL,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68404"
1,TnPL,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68181"
1,TnPL,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.69469"
1,TnPL,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.66507"
1,TnPL,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.66792"
1,TnPL,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.67443"
1,TnPL,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68592"
1,TnPL,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68668"
1,TnPL,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.70409"
1,TnPL,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68651"
1,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69501"
1,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.63783"
1,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.75218"
1,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.67828"
1,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.71173"
1,TnPH,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.71537"
1,TnPH,up_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.66155"
1,TnPH,down_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.70678"
1,TnPH,up_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.68754"
1,TnPH,down_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.70114"
1,TnPH,up_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.68828"
1,TnPH,down_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69798"
1,TnPH,up_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69231"
1,TnPH,down_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.73283"
1,TnPH,up_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.66448"
1,TnPH,down_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69036"
1,TnPH,up_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69036"
1,TnPH,down_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69742"
1,TnPH,up_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69353"
1,TnPH,down_BFrag,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.70787"
1,TnPH,up_BFrag,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.67855"
1,TnPH,down_MTOP,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.712"
1,TnPH,up_MTOP,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69612"
1,TnPH,down_HD,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.71009"
1,TnPH,up_HD,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.68322"
1,TnPH,down_TUNE,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.67757"
1,TnPH,up_TUNE,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.71346"
1,TnPL,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.67281"
1,TnPL,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.62125"
1,TnPL,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.72437"
1,TnPL,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.65192"
1,TnPL,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.6937"
