ComCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20313"
1,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.18262"
1,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22364"
1,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.19426"
1,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21199"
1,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.19932"
1,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20229"
1,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20308"
1,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20071"
1,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20527"
1,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20121"
1,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20456"
1,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2022"
1,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.201"
1,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20595"
1,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20341"
1,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20341"
1,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20346"
1,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20362"
1,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20246"
1,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20485"
1,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.19825"
1,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20914"
1,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.18642"
1,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20919"
1,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.18712"
1,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20127"
1,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21882"
1,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.1862"
1,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.25143"
1,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20549"
1,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23215"
1,TnPL,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22407"
1,TnPL,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21773"
1,TnPL,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22722"
1,TnPL,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2249"
1,TnPL,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22617"
1,TnPL,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22482"
1,TnPL,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22546"
1,TnPL,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22528"
1,TnPL,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22614"
1,TnPL,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22385"
1,TnPL,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21839"
1,TnPL,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21839"
1,TnPL,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22549"
1,TnPL,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2253"
1,TnPL,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22876"
1,TnPL,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22165"
1,TnPL,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20789"
1,TnPL,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20758"
1,TnPL,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2105"
1,TnPL,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21699"
1,TnPL,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.18951"
1,TnPL,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22188"
1,TnPH,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18981"
1,TnPH,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.16149"
1,TnPH,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.21812"
1,TnPH,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18117"
1,TnPH,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19844"
1,TnPH,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19453"
1,TnPH,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19356"
1,TnPH,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19503"
1,TnPH,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19433"
1,TnPH,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19627"
