DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93012"
0,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.8459"
0,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0143"
0,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90765"
0,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95259"
0,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97074"
0,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.86895"
0,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95035"
0,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91609"
0,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94662"
0,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92355"
0,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94462"
0,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92577"
0,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98571"
0,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.89694"
0,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91638"
0,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91638"
0,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93728"
0,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93378"
0,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94846"
0,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9176"
0,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95333"
0,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91671"
0,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94919"
0,TnPH,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91886"
0,TnPH,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93765"
0,TnPH,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94572"
0,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94843"
0,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.80672"
0,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0901"
0,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.85869"
0,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1.0382"
0,TnPL,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.99992"
0,TnPL,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.85582"
0,TnPL,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.98597"
0,TnPL,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94193"
0,TnPL,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97149"
0,TnPL,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94496"
0,TnPL,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97034"
0,TnPL,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9454"
0,TnPL,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"1"
0,TnPL,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9165"
0,TnPL,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90984"
0,TnPL,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.90984"
0,TnPL,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95994"
0,TnPL,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95883"
0,TnPL,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.97363"
0,TnPL,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94051"
0,TnPL,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.9177"
0,TnPL,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.93097"
0,TnPL,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.92989"
0,TnPL,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.91574"
0,TnPL,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.94792"
0,TnPL,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.95775"
0,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90952"
0,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.84976"
0,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.96927"
0,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.89078"
0,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92826"
0,TnPH,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92555"
0,TnPH,up_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.87467"
0,TnPH,down_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.92261"
0,TnPH,up_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90043"
0,TnPH,down_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91771"
0,TnPH,up_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90148"
0,TnPH,down_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.91297"
0,TnPH,up_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90782"
0,TnPH,down_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.94702"
0,TnPH,up_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.88215"
0,TnPH,down_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.90413"
