DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.5744"
2,TnPH,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.52048"
2,TnPH,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.62833"
2,TnPH,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.55878"
2,TnPH,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59003"
2,TnPH,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59149"
2,TnPH,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.54132"
2,TnPH,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58579"
2,TnPH,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.56347"
2,TnPH,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58658"
2,TnPH,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.56225"
2,TnPH,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58138"
2,TnPH,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.56817"
2,TnPH,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.60908"
2,TnPH,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.54719"
2,TnPH,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.56364"
2,TnPH,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.56364"
2,TnPH,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57728"
2,TnPH,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57363"
2,TnPH,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58793"
2,TnPH,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.55892"
2,TnPH,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59237"
2,TnPH,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57238"
2,TnPH,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59034"
2,TnPH,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57419"
2,TnPH,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58514"
2,TnPH,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57679"
2,TnPL,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.5248"
2,TnPL,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.43889"
2,TnPL,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.6107"
2,TnPL,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.50157"
2,TnPL,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.54803"
2,TnPL,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.5786"
2,TnPL,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.46999"
2,TnPL,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.54822"
2,TnPL,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51626"
2,TnPL,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.54294"
2,TnPL,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51669"
2,TnPL,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.53942"
2,TnPL,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51988"
2,TnPL,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57179"
2,TnPL,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49621"
2,TnPL,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49554"
2,TnPL,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.49554"
2,TnPL,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.53234"
2,TnPL,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.52976"
2,TnPL,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.54086"
2,TnPL,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51595"
2,TnPL,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.52514"
2,TnPL,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.51608"
2,TnPL,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.54297"
2,TnPL,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.5372"
2,TnPL,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.55002"
2,TnPL,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.53807"
2,TnPH,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57879"
2,TnPH,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.52079"
2,TnPH,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.63679"
2,TnPH,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.56456"
2,TnPH,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59301"
2,TnPH,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.6003"
2,TnPH,up_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.54257"
2,TnPH,down_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5902"
2,TnPH,up_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57395"
2,TnPH,down_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58636"
2,TnPH,up_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57411"
2,TnPH,down_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58382"
2,TnPH,up_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57717"
2,TnPH,down_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.61568"
2,TnPH,up_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.55197"
2,TnPH,down_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57439"
2,TnPH,up_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57439"
2,TnPH,down_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58266"
2,TnPH,up_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57922"
2,TnPH,down_BFrag,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59114"
2,TnPH,up_BFrag,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.56619"
2,TnPH,down_MTOP,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.60943"
2,TnPH,up_MTOP,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57019"
2,TnPH,down_HD,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59809"
2,TnPH,up_HD,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.56728"
2,TnPH,down_TUNE,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5712"
2,TnPH,up_TUNE,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59513"
2,TnPL,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58355"
2,TnPL,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.53411"
2,TnPL,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.63298"
2,TnPL,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.56314"
2,TnPL,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.60395"
2,TnPL,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.6024"
2,TnPL,up_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.55639"
2,TnPL,down_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59701"
2,TnPL,up_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58121"
2,TnPL,down_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59242"
2,TnPL,up_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5867"
2,TnPL,down_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59425"
2,TnPL,up_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58386"
2,TnPL,down_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.61414"
2,TnPL,up_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57162"
2,TnPL,down_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.56576"
2,TnPL,up_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.56576"
2,TnPL,down_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5906"
2,TnPL,up_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5888"
2,TnPL,down_BFrag,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5908"
2,TnPL,up_BFrag,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58573"
2,TnPL,down_MTOP,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58901"
