DeepCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30592"
1,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2814"
1,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33044"
1,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29486"
1,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31699"
1,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29709"
1,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3083"
1,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30142"
1,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30303"
1,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30071"
1,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3031"
1,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30169"
1,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3022"
1,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29135"
1,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31086"
1,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30807"
1,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30807"
1,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30162"
1,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30234"
1,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29958"
1,TnPH,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30512"
1,TnPH,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29358"
1,TnPH,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30758"
1,TnPH,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29596"
1,TnPH,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30104"
1,TnPH,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29244"
1,TnPH,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30648"
1,TnPL,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31541"
1,TnPL,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2803"
1,TnPL,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.35052"
1,TnPL,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.29927"
1,TnPL,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33155"
1,TnPL,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30718"
1,TnPL,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32016"
1,TnPL,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32118"
1,TnPL,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3174"
1,TnPL,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3175"
1,TnPL,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31703"
1,TnPL,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31572"
1,TnPL,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31897"
1,TnPL,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30922"
1,TnPL,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32338"
1,TnPL,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31895"
1,TnPL,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31895"
1,TnPL,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31698"
1,TnPL,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31744"
1,TnPL,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31739"
1,TnPL,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3174"
1,TnPL,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31068"
