DeepCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnPH,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22627"
2,TnPH,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20276"
2,TnPH,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.24979"
2,TnPH,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21765"
2,TnPH,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2349"
2,TnPH,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2405"
2,TnPH,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22219"
2,TnPH,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23359"
2,TnPH,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22732"
2,TnPH,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23493"
2,TnPH,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22714"
2,TnPH,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23429"
2,TnPH,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22691"
2,TnPH,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23794"
2,TnPH,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22539"
2,TnPH,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22316"
2,TnPH,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22316"
2,TnPH,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2316"
2,TnPH,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23061"
2,TnPH,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.23387"
