ComCl;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
0,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33718"
0,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.28234"
0,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.39203"
0,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32551"
0,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34885"
0,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31005"
0,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.36432"
0,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32753"
0,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34684"
0,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32686"
0,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3475"
0,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3303"
0,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34406"
0,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.30813"
0,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.36623"
0,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32548"
0,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34888"
0,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3348"
0,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.33957"
0,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32519"
0,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.34917"
0,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32017"
0,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.3542"
0,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.31738"
0,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.35699"
0,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.32313"
0,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.35124"
0,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32841"
0,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.29691"
0,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.35991"
0,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.31876"
0,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33807"
0,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.31561"
0,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.34122"
0,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32199"
0,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33484"
0,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32471"
0,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33211"
0,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32356"
0,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33327"
0,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.30911"
0,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.34772"
0,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32229"
0,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33454"
0,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32478"
0,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33204"
0,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32161"
0,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33522"
0,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32155"
0,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33528"
0,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.31703"
0,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.3398"
0,TnP,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.32437"
0,TnP,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.33246"
0,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3818"
0,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.36626"
0,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.39733"
0,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.37437"
0,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38922"
0,TnP,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.3776"
0,TnP,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38599"
0,TnP,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.37918"
0,TnP,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38441"
0,TnP,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38083"
0,TnP,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38276"
0,TnP,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.37984"
0,TnP,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38375"
0,TnP,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.37531"
0,TnP,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38828"
0,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.37947"
0,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38412"
0,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38072"
0,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38287"
0,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38043"
0,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38316"
0,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.37612"
0,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38747"
0,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.37408"
0,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38951"
0,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.37813"
0,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.38546"
0,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37184"
0,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3546"
0,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.38908"
0,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.36406"
0,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37962"
0,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37031"
0,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37337"
0,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37014"
0,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37354"
0,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3709"
0,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37277"
0,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37061"
0,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37306"
0,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37087"
0,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37281"
0,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37114"
0,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37254"
0,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37097"
0,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37271"
0,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.3701"
0,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37358"
0,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.36463"
0,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.37905"
0,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.36221"
0,TnP,up_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.38147"
0,TnP,down_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.36283"
0,TnP,up_TUNE,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.38085"
0,TnP,central,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.41124"
0,TnP,down,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.3794"
0,TnP,up,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.44308"
0,TnP,down_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.39718"
0,TnP,up_statistic,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.4253"
0,TnP,down_JES,0,-2.4,2.4,200.0,600.0,0.0,1.0,"0.40448"
