ComCm;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20556"
1,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.1856"
1,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.22552"
1,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.19818"
1,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21294"
1,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20371"
1,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2074"
1,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20437"
1,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20674"
1,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20341"
1,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20771"
1,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20395"
1,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20716"
1,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20327"
1,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20785"
1,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20538"
1,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20573"
1,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20416"
1,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20696"
1,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20403"
1,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.20708"
1,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.2008"
1,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21032"
1,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.19379"
1,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21733"
1,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.19213"
1,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.21899"
1,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19016"
1,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.16929"
1,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.21103"
1,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18375"
1,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19656"
1,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18865"
1,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19167"
1,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18699"
1,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19333"
1,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18619"
1,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19412"
1,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18611"
1,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19421"
1,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18603"
1,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19429"
1,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18894"
1,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19138"
1,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18617"
1,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19415"
1,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18619"
1,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19413"
1,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18427"
1,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.19605"
1,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.17533"
1,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.20498"
1,TnP,down_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.18062"
1,TnP,up_TUNE,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.1997"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21396"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20319"
1,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22473"
1,TnP,down_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20788"
1,TnP,up_statistic,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.22004"
1,TnP,down_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21082"
1,TnP,up_JES,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21709"
1,TnP,down_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21256"
1,TnP,up_JER,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21536"
1,TnP,down_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21216"
1,TnP,up_FSR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21576"
1,TnP,down_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21223"
1,TnP,up_ISR,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21569"
1,TnP,down_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21144"
1,TnP,up_PU,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21648"
1,TnP,down_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21301"
1,TnP,up_BKG,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21491"
1,TnP,down_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21224"
1,TnP,up_BDecay,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21567"
1,TnP,down_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21226"
1,TnP,up_BFrag,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21566"
1,TnP,down_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20989"
1,TnP,up_MTOP,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21803"
1,TnP,down_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.20898"
1,TnP,up_HD,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21894"
1,TnP,down_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.2123"
1,TnP,up_TUNE,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.21562"
1,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21348"
1,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20481"
1,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.22216"
1,TnP,down_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.20689"
1,TnP,up_statistic,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.22007"
1,TnP,down_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21331"
1,TnP,up_JES,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21365"
1,TnP,down_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21221"
1,TnP,up_JER,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21475"
1,TnP,down_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21276"
1,TnP,up_FSR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.2142"
1,TnP,down_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21291"
1,TnP,up_ISR,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21405"
1,TnP,down_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21273"
1,TnP,up_PU,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21423"
1,TnP,down_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21312"
1,TnP,up_BKG,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21384"
1,TnP,down_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21295"
1,TnP,up_BDecay,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21401"
1,TnP,down_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21211"
1,TnP,up_BFrag,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21485"
1,TnP,down_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21015"
1,TnP,up_MTOP,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.21681"
1,TnP,down_HD,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.213"
