ComCt;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.084213"
2,TnP,down,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.071952"
2,TnP,up,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.096473"
2,TnP,down_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.079666"
2,TnP,up_statistic,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.088759"
2,TnP,down_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.08082"
2,TnP,up_JES,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.087606"
2,TnP,down_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.081314"
2,TnP,up_JER,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.087111"
2,TnP,down_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.080962"
2,TnP,up_FSR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.087463"
2,TnP,down_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.081125"
2,TnP,up_ISR,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.087301"
2,TnP,down_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.07995"
2,TnP,up_PU,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.088475"
2,TnP,down_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.082721"
2,TnP,up_BKG,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.085704"
2,TnP,down_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.081538"
2,TnP,up_BDecay,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.086888"
2,TnP,down_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.081461"
2,TnP,up_BFrag,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.086964"
2,TnP,down_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.080087"
2,TnP,up_MTOP,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.088339"
2,TnP,down_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.079425"
2,TnP,up_HD,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.089"
2,TnP,down_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.07986"
2,TnP,up_TUNE,0,-2.4,2.4,30.0,60.0,0.0,1.0,"0.088566"
2,TnP,central,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.089541"
2,TnP,down,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.079329"
2,TnP,up,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.099752"
2,TnP,down_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.084999"
2,TnP,up_statistic,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.094082"
2,TnP,down_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.086518"
2,TnP,up_JES,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.092563"
2,TnP,down_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.087917"
2,TnP,up_JER,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.091164"
2,TnP,down_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.08703"
2,TnP,up_FSR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.092051"
2,TnP,down_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.087302"
2,TnP,up_ISR,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.09178"
2,TnP,down_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.085509"
2,TnP,up_PU,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.093573"
2,TnP,down_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.089074"
2,TnP,up_BKG,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.090007"
2,TnP,down_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.087303"
2,TnP,up_BDecay,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.091779"
2,TnP,down_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.087125"
2,TnP,up_BFrag,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.091957"
2,TnP,down_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.087205"
2,TnP,up_MTOP,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.091877"
2,TnP,down_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.084305"
2,TnP,up_HD,0,-2.4,2.4,60.0,100.0,0.0,1.0,"0.094776"
