DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
1,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.75919"
1,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.68339"
1,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.83499"
1,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.74273"
1,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.77565"
1,TnP,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71996"
1,TnP,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.79842"
1,TnP,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.74355"
1,TnP,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.77483"
1,TnP,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.74344"
1,TnP,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.77494"
1,TnP,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.7487"
1,TnP,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.76967"
1,TnP,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.71695"
1,TnP,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.80143"
1,TnP,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.74689"
1,TnP,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.77149"
1,TnP,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.75095"
1,TnP,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.76743"
1,TnP,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.7419"
1,TnP,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.77648"
1,TnP,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.73354"
1,TnP,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.78484"
1,TnP,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.73426"
1,TnP,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.78411"
1,TnP,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.74791"
1,TnP,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.77046"
1,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.74961"
1,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.69318"
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.80603"
1,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.73644"
1,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.76277"
1,TnP,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.72154"
1,TnP,up_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.77767"
1,TnP,down_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.73745"
1,TnP,up_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.76177"
