DeepCSV;OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59038"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.53914"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.64162"
2,TnP,down_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57742"
2,TnP,up_statistic,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.60334"
2,TnP,down_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.56955"
2,TnP,up_JES,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.61121"
2,TnP,down_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58053"
2,TnP,up_JER,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.60023"
2,TnP,down_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57842"
2,TnP,up_FSR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.60234"
2,TnP,down_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58468"
2,TnP,up_ISR,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59608"
2,TnP,down_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.56129"
2,TnP,up_PU,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.61947"
2,TnP,down_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58523"
2,TnP,up_BKG,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59553"
2,TnP,down_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58829"
2,TnP,up_BDecay,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59247"
2,TnP,down_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57499"
2,TnP,up_BFrag,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.60577"
2,TnP,down_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.57316"
2,TnP,up_MTOP,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.6076"
2,TnP,down_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.5792"
2,TnP,up_HD,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.60156"
2,TnP,down_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.58595"
2,TnP,up_TUNE,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.59481"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58223"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.53442"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.63003"
2,TnP,down_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57056"
2,TnP,up_statistic,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5939"
2,TnP,down_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.55683"
2,TnP,up_JES,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.60762"
2,TnP,down_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57286"
2,TnP,up_JER,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5916"
2,TnP,down_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57616"
2,TnP,up_FSR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58829"
2,TnP,down_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57574"
2,TnP,up_ISR,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58871"
2,TnP,down_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5562"
2,TnP,up_PU,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.60825"
2,TnP,down_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5675"
2,TnP,up_BKG,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59696"
2,TnP,down_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57704"
2,TnP,up_BDecay,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58741"
2,TnP,down_BFrag,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.5759"
2,TnP,up_BFrag,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.58856"
2,TnP,down_MTOP,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57112"
2,TnP,up_MTOP,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59334"
2,TnP,down_HD,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.56996"
2,TnP,up_HD,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59449"
2,TnP,down_TUNE,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.57411"
2,TnP,up_TUNE,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.59034"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.59049"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.55671"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.62428"
2,TnP,down_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.58095"
2,TnP,up_statistic,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.60003"
2,TnP,down_JES,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.58125"
2,TnP,up_JES,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.59973"
2,TnP,down_JER,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.58471"
2,TnP,up_JER,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.59627"
2,TnP,down_FSR,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.58541"
2,TnP,up_FSR,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.59557"
2,TnP,down_ISR,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.58526"
2,TnP,up_ISR,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.59573"
2,TnP,down_PU,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.57266"
2,TnP,up_PU,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.60833"
2,TnP,down_BKG,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.58666"
2,TnP,up_BKG,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.59432"
2,TnP,down_BDecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.58549"
2,TnP,up_BDecay,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.59549"
